NAME                                     READY   STATUS    RESTARTS   AGE   IP                NODE           NOMINATED NODE   READINESS GATES
compose-post-service-66f57bc49-njl4x     1/1     Running   0          5s    192.168.173.143   emu-worker-8   <none>           <none>
home-timeline-service-7bfdff7c9c-26hc7   1/1     Running   0          5s    192.168.173.141   emu-worker-8   <none>           <none>
media-service-9cdbccc-hbgw2              1/1     Running   0          4s    192.168.99.205    emu-worker-6   <none>           <none>
nginx-thrift-75669994bf-zh4sc            1/1     Running   0          5s    192.168.173.145   emu-worker-8   <none>           <none>
text-service-594c6c57c7-ntdbl            1/1     Running   0          4s    192.168.99.206    emu-worker-6   <none>           <none>
unique-id-service-678c55fc49-b6jfb       1/1     Running   0          4s    192.168.173.144   emu-worker-8   <none>           <none>
user-service-567568bb97-lv9n9            1/1     Running   0          5s    192.168.173.142   emu-worker-8   <none>           <none>
user-timeline-service-78b58f4bf7-v6tbj   1/1     Running   0          5s    192.168.173.140   emu-worker-8   <none>           <none>
