LAST SEEN   TYPE      REASON              OBJECT                                        MESSAGE
3s          Normal    Scheduled           pod/media-service-8659f44dbf-wwbtw            Successfully assigned pss-20260603072120z-s30-k8s-r01/media-service-8659f44dbf-wwbtw to emu-worker-8
3s          Normal    Scheduled           pod/user-timeline-service-5dfdffbd8f-sv9rl    Successfully assigned pss-20260603072120z-s30-k8s-r01/user-timeline-service-5dfdffbd8f-sv9rl to emu-worker-7
3s          Normal    Scheduled           pod/user-service-84b9c58789-tns7v             Successfully assigned pss-20260603072120z-s30-k8s-r01/user-service-84b9c58789-tns7v to emu-worker-1
3s          Normal    Scheduled           pod/unique-id-service-769b668b89-kv8fr        Successfully assigned pss-20260603072120z-s30-k8s-r01/unique-id-service-769b668b89-kv8fr to emu-worker-8
3s          Normal    Scheduled           pod/text-service-7f74645d8f-8lgj6             Successfully assigned pss-20260603072120z-s30-k8s-r01/text-service-7f74645d8f-8lgj6 to emu-worker-1
4s          Normal    Scheduled           pod/compose-post-service-65ccb6bfdf-9w49b     Successfully assigned pss-20260603072120z-s30-k8s-r01/compose-post-service-65ccb6bfdf-9w49b to emu-worker-3
4s          Normal    Scheduled           pod/nginx-thrift-5bb64998b9-5drlg             Successfully assigned pss-20260603072120z-s30-k8s-r01/nginx-thrift-5bb64998b9-5drlg to emu-worker-3
3s          Normal    Scheduled           pod/home-timeline-service-97b5cc7c-h8xd7      Successfully assigned pss-20260603072120z-s30-k8s-r01/home-timeline-service-97b5cc7c-h8xd7 to emu-worker-7
4s          Normal    ScalingReplicaSet   deployment/nginx-thrift                       Scaled up replica set nginx-thrift-5bb64998b9 from 0 to 1
4s          Normal    SuccessfulCreate    replicaset/nginx-thrift-5bb64998b9            Created pod: nginx-thrift-5bb64998b9-5drlg
4s          Normal    ScalingReplicaSet   deployment/user-timeline-service              Scaled up replica set user-timeline-service-5dfdffbd8f from 0 to 1
4s          Normal    SuccessfulCreate    replicaset/home-timeline-service-97b5cc7c     Created pod: home-timeline-service-97b5cc7c-h8xd7
4s          Normal    ScalingReplicaSet   deployment/home-timeline-service              Scaled up replica set home-timeline-service-97b5cc7c from 0 to 1
4s          Normal    SuccessfulCreate    replicaset/user-timeline-service-5dfdffbd8f   Created pod: user-timeline-service-5dfdffbd8f-sv9rl
4s          Normal    ScalingReplicaSet   deployment/user-service                       Scaled up replica set user-service-84b9c58789 from 0 to 1
4s          Normal    SuccessfulCreate    replicaset/user-service-84b9c58789            Created pod: user-service-84b9c58789-tns7v
4s          Normal    ScalingReplicaSet   deployment/unique-id-service                  Scaled up replica set unique-id-service-769b668b89 from 0 to 1
4s          Normal    SuccessfulCreate    replicaset/unique-id-service-769b668b89       Created pod: unique-id-service-769b668b89-kv8fr
4s          Normal    ScalingReplicaSet   deployment/media-service                      Scaled up replica set media-service-8659f44dbf from 0 to 1
4s          Normal    ScalingReplicaSet   deployment/compose-post-service               Scaled up replica set compose-post-service-65ccb6bfdf from 0 to 1
