LAST SEEN   TYPE     REASON              OBJECT                             MESSAGE
7s          Normal   Pulled              pod/expert-2-85496599ff-nkvd7      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal   Started             pod/expert-0-857fcff794-qndvx      Container started
7s          Normal   Started             pod/expert-5-6865bc578c-jpgwk      Container started
7s          Normal   Pulled              pod/expert-5-6865bc578c-jpgwk      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal   Created             pod/expert-2-85496599ff-nkvd7      Container created
7s          Normal   Pulled              pod/cache-7f864cc8fd-sh7bx         Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal   Started             pod/expert-4-7c5cb44787-r4t44      Container started
7s          Normal   Created             pod/expert-0-857fcff794-qndvx      Container created
7s          Normal   Pulled              pod/expert-4-7c5cb44787-r4t44      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal   Started             pod/expert-2-85496599ff-nkvd7      Container started
6s          Normal   Created             pod/cache-7f864cc8fd-sh7bx         Container created
6s          Normal   Started             pod/cache-7f864cc8fd-sh7bx         Container started
