NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE           NOMINATED NODE   READINESS GATES
aggregator-685b7c5d55-bkcpf   1/1     Running   0          20s   192.168.42.66     emu-worker-3   <none>           <none>
cache-68646dc5c9-4rpmz        1/1     Running   0          20s   192.168.137.196   emu-worker-2   <none>           <none>
expert-0-865db6969f-w99cg     1/1     Running   0          19s   192.168.42.67     emu-worker-3   <none>           <none>
expert-1-79587d965f-4rk59     1/1     Running   0          19s   192.168.135.68    emu-worker-4   <none>           <none>
expert-2-7746d8bb75-kmsqp     1/1     Running   0          19s   192.168.65.3      emu-worker-1   <none>           <none>
expert-3-5f5b8f6b7f-lcd2b     1/1     Running   0          19s   192.168.137.197   emu-worker-2   <none>           <none>
expert-4-68f84cbc75-kd56d     1/1     Running   0          18s   192.168.42.68     emu-worker-3   <none>           <none>
expert-5-5f7665986c-vf87s     1/1     Running   0          18s   192.168.65.4      emu-worker-1   <none>           <none>
frontend-594868d7c7-xxhb5     1/1     Running   0          21s   192.168.135.66    emu-worker-4   <none>           <none>
router-74f7c79f8c-wkcw2       1/1     Running   0          20s   192.168.65.2      emu-worker-1   <none>           <none>
tokenizer-7b6b555d9-wxv8t     1/1     Running   0          21s   192.168.135.67    emu-worker-4   <none>           <none>
