NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE           NOMINATED NODE   READINESS GATES
aggregator-59b6b6c498-bf6tz   1/1     Running   0          10s   192.168.65.8      emu-worker-1   <none>           <none>
cache-7f864cc8fd-sh7bx        1/1     Running   0          10s   192.168.65.11     emu-worker-1   <none>           <none>
expert-0-857fcff794-qndvx     1/1     Running   0          10s   192.168.65.10     emu-worker-1   <none>           <none>
expert-1-f6fc7d86-7kgt2       1/1     Running   0          9s    192.168.65.9      emu-worker-1   <none>           <none>
expert-2-85496599ff-nkvd7     1/1     Running   0          9s    192.168.135.70    emu-worker-4   <none>           <none>
expert-3-579b4bd87-vxdkq      1/1     Running   0          9s    192.168.137.198   emu-worker-2   <none>           <none>
expert-4-7c5cb44787-r4t44     1/1     Running   0          9s    192.168.135.69    emu-worker-4   <none>           <none>
expert-5-6865bc578c-jpgwk     1/1     Running   0          9s    192.168.42.69     emu-worker-3   <none>           <none>
frontend-75fcb7d4f6-jn4j8     1/1     Running   0          10s   192.168.65.5      emu-worker-1   <none>           <none>
router-6896c8ff86-28nmr       1/1     Running   0          10s   192.168.65.6      emu-worker-1   <none>           <none>
tokenizer-5dcd758896-2ggjw    1/1     Running   0          10s   192.168.65.7      emu-worker-1   <none>           <none>
