mode,repetitions,graph_build_wall_p50_ms,graph_build_wall_p95_ms,graph_build_wall_p99_ms,graph_build_cpu_p50_ms,graph_build_cpu_p95_ms,graph_build_cpu_p99_ms,peak_python_memory_p50_mib,peak_python_memory_p95_mib,peak_python_memory_p99_mib,prometheus_query_latency_p50_ms,prometheus_query_latency_p95_ms,prometheus_query_latency_p99_ms,service_count,scenario,vertex_count,active_edges,replicas,scrape_interval_seconds,query_count,query_reduction_ratio_vs_dense,dense_pairwise_enabled,dense_comparison_status
dense-pairwise,7,0.258588,0.381739,0.381739,0.255719,0.375935,0.375935,0.000114,0.000961,0.000961,0.0,0.0,0.0,50,synthetic_control_plane,50,200,1,15.0,4900,1.0,True,measured
sparse-aggregate,7,1.307462,2.133929,2.133929,1.304416,2.126137,2.126137,0.115982,0.118752,0.118752,0.0,0.0,0.0,50,synthetic_control_plane,50,200,1,15.0,2,2450.0,True,available
dense-pairwise,7,0.926375,1.458827,1.458827,0.917731,1.455268,1.455268,0.000168,0.000168,0.000168,0.0,0.0,0.0,100,synthetic_control_plane,100,400,1,15.0,19800,1.0,True,measured
sparse-aggregate,7,2.703063,3.728282,3.728282,2.698199,3.724092,3.724092,0.240807,0.241075,0.241075,0.0,0.0,0.0,100,synthetic_control_plane,100,400,1,15.0,2,9900.0,True,available
dense-pairwise,7,6.04703,6.293745,6.293745,6.04248,6.289633,6.289633,0.000168,0.000168,0.000168,0.0,0.0,0.0,250,synthetic_control_plane,250,1000,1,15.0,124500,1.0,True,measured
sparse-aggregate,7,6.246456,17.903122,17.903122,6.242465,17.899443,17.899443,0.583237,0.587448,0.587448,0.0,0.0,0.0,250,synthetic_control_plane,250,1000,1,15.0,2,62250.0,True,available
dense-pairwise,7,22.823009,27.612682,27.612682,22.813257,27.591136,27.591136,0.000168,0.000168,0.000168,0.0,0.0,0.0,500,synthetic_control_plane,500,2000,1,15.0,499000,1.0,True,measured
sparse-aggregate,7,12.430044,15.824126,15.824126,12.425469,15.818782,15.818782,1.180305,1.194931,1.194931,0.0,0.0,0.0,500,synthetic_control_plane,500,2000,1,15.0,2,249500.0,True,available
dense-pairwise,7,91.963751,116.696317,116.696317,91.955927,116.68704,116.68704,0.000168,0.000168,0.000168,0.0,0.0,0.0,1000,synthetic_control_plane,1000,4000,1,15.0,1998000,1.0,True,measured
sparse-aggregate,7,24.748575,47.639103,47.639103,24.743998,47.630632,47.630632,2.364677,2.364731,2.364731,0.0,0.0,0.0,1000,synthetic_control_plane,1000,4000,1,15.0,2,999000.0,True,available
sparse-aggregate,7,166.904848,191.197796,191.197796,166.894595,191.171316,191.171316,12.08625,12.086433,12.086433,0.0,0.0,0.0,5000,synthetic_control_plane,5000,20000,1,15.0,2,24995000.0,True,sparse_only
dense-pairwise,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,5000,synthetic_control_plane,5000,20000,1,15.0,49990000,1.0,True,skipped_above_1000_services
sparse-aggregate,7,369.282924,411.007193,411.007193,369.262836,410.955815,410.955815,23.675209,23.679993,23.679993,0.0,0.0,0.0,10000,synthetic_control_plane,10000,40000,1,15.0,2,99990000.0,True,sparse_only
dense-pairwise,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,10000,synthetic_control_plane,10000,40000,1,15.0,199980000,1.0,True,skipped_above_1000_services
sparse-aggregate,7,871.408905,931.438587,931.438587,871.284637,931.340558,931.340558,48.353966,48.354202,48.354202,0.0,0.0,0.0,20000,synthetic_control_plane,20000,80000,1,15.0,2,399980000.0,True,sparse_only
dense-pairwise,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,20000,synthetic_control_plane,20000,80000,1,15.0,799960000,1.0,True,skipped_above_1000_services
sparse-aggregate,7,2414.547081,2592.545193,2592.545193,2414.147093,2592.298353,2592.298353,121.038399,121.038635,121.038635,0.0,0.0,0.0,50000,synthetic_control_plane,50000,200000,1,15.0,2,2499950000.0,True,sparse_only
dense-pairwise,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,50000,synthetic_control_plane,50000,200000,1,15.0,4999900000,1.0,True,skipped_above_1000_services
