service_count,repetition,mode,scenario,vertex_count,active_edges,graph_edges,replicas,scrape_interval_seconds,query_count,prometheus_query_latency_ms,graph_build_wall_ms,graph_build_cpu_ms,peak_python_memory_mib,dense_pairwise_enabled,dense_skipped_reason
500,1,sparse-aggregate,synthetic_control_plane,500,2000,2000,1,15.0,2,0.0,11.63225,11.627683,1.175644,True,
500,1,dense-pairwise,synthetic_control_plane,500,2000,2000,1,15.0,499000,0.0,20.635428,20.631606,0.000168,True,
500,2,sparse-aggregate,synthetic_control_plane,500,2000,2000,1,15.0,2,0.0,11.402809,11.399295,1.175644,True,
500,2,dense-pairwise,synthetic_control_plane,500,2000,2000,1,15.0,499000,0.0,27.612682,27.591136,0.000168,True,
500,3,sparse-aggregate,synthetic_control_plane,500,2000,2000,1,15.0,2,0.0,13.379582,13.374378,1.175644,True,
500,3,dense-pairwise,synthetic_control_plane,500,2000,2000,1,15.0,499000,0.0,22.823009,22.797958,0.000168,True,
500,4,sparse-aggregate,synthetic_control_plane,500,2000,2000,1,15.0,2,0.0,12.430044,12.425469,1.180466,True,
500,4,dense-pairwise,synthetic_control_plane,500,2000,2000,1,15.0,499000,0.0,23.56147,23.556311,0.000168,True,
500,5,sparse-aggregate,synthetic_control_plane,500,2000,2000,1,15.0,2,0.0,15.824126,15.818782,1.194931,True,
500,5,dense-pairwise,synthetic_control_plane,500,2000,2000,1,15.0,499000,0.0,20.504681,20.498817,0.000168,True,
500,6,sparse-aggregate,synthetic_control_plane,500,2000,2000,1,15.0,2,0.0,14.085691,14.081634,1.194931,True,
500,6,dense-pairwise,synthetic_control_plane,500,2000,2000,1,15.0,499000,0.0,24.66592,24.661504,0.000168,True,
1000,0,sparse-aggregate,synthetic_control_plane,1000,4000,4000,1,15.0,2,0.0,47.639103,47.630632,2.351242,True,
1000,0,dense-pairwise,synthetic_control_plane,1000,4000,4000,1,15.0,1998000,0.0,93.277988,93.256806,0.000168,True,
1000,1,sparse-aggregate,synthetic_control_plane,1000,4000,4000,1,15.0,2,0.0,25.097784,25.093151,2.364731,True,
1000,1,dense-pairwise,synthetic_control_plane,1000,4000,4000,1,15.0,1998000,0.0,91.053576,91.045188,0.000168,True,
1000,2,sparse-aggregate,synthetic_control_plane,1000,4000,4000,1,15.0,2,0.0,24.756701,24.751482,2.346451,True,
1000,2,dense-pairwise,synthetic_control_plane,1000,4000,4000,1,15.0,1998000,0.0,90.046059,90.036237,0.000168,True,
1000,3,sparse-aggregate,synthetic_control_plane,1000,4000,4000,1,15.0,2,0.0,24.748575,24.743998,2.364677,True,
1000,3,dense-pairwise,synthetic_control_plane,1000,4000,4000,1,15.0,1998000,0.0,116.696317,116.68704,0.000168,True,
1000,4,sparse-aggregate,synthetic_control_plane,1000,4000,4000,1,15.0,2,0.0,24.655701,24.651344,2.364677,True,
1000,4,dense-pairwise,synthetic_control_plane,1000,4000,4000,1,15.0,1998000,0.0,90.66756,90.647484,0.000168,True,
1000,5,sparse-aggregate,synthetic_control_plane,1000,4000,4000,1,15.0,2,0.0,23.743012,23.738582,2.364677,True,
1000,5,dense-pairwise,synthetic_control_plane,1000,4000,4000,1,15.0,1998000,0.0,91.99004,91.982777,0.000168,True,
1000,6,sparse-aggregate,synthetic_control_plane,1000,4000,4000,1,15.0,2,0.0,22.979844,22.976022,2.346451,True,
1000,6,dense-pairwise,synthetic_control_plane,1000,4000,4000,1,15.0,1998000,0.0,91.963751,91.955927,0.000168,True,
5000,0,sparse-aggregate,synthetic_control_plane,5000,20000,20000,1,15.0,2,0.0,165.481548,165.464052,12.086334,True,
5000,1,sparse-aggregate,synthetic_control_plane,5000,20000,20000,1,15.0,2,0.0,166.186696,166.164686,12.08625,True,
5000,2,sparse-aggregate,synthetic_control_plane,5000,20000,20000,1,15.0,2,0.0,169.362667,169.352594,12.086197,True,
5000,3,sparse-aggregate,synthetic_control_plane,5000,20000,20000,1,15.0,2,0.0,146.530381,146.521282,12.086205,True,
5000,4,sparse-aggregate,synthetic_control_plane,5000,20000,20000,1,15.0,2,0.0,166.904848,166.894595,12.08625,True,
5000,5,sparse-aggregate,synthetic_control_plane,5000,20000,20000,1,15.0,2,0.0,191.197796,191.171316,12.086433,True,
5000,6,sparse-aggregate,synthetic_control_plane,5000,20000,20000,1,15.0,2,0.0,174.717826,174.689361,12.086357,True,
10000,0,sparse-aggregate,synthetic_control_plane,10000,40000,40000,1,15.0,2,0.0,369.282924,369.262836,23.679993,True,
10000,1,sparse-aggregate,synthetic_control_plane,10000,40000,40000,1,15.0,2,0.0,384.912854,384.898513,23.674995,True,
