metric,value
mean_edge_jaccard_distance,0.05958363
mean_weighted_edge_distance,0.17304674
mean_hot_edge_rank_correlation,0.75682945
mean_graph_change_rate_per_s,0.17304671
mean_request_mix_entropy,1.43539574
mean_top3_hotspot_churn,0.16934673
mean_active_edge_count,8.18000000
mean_traffic_stress_gini,0.38619691
mean_traffic_stress_skew,0.86682211
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01006094
mean_gda_total_time_ms,0.01006094
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.74016850
traffic_stress_latency_correlation,0.19952499
kubernetes-default_mean_latency_ms,87.13662197
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.43539574
cga_mean_latency_ms,81.74205575
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.43539574
hda_mean_latency_ms,78.31600454
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.43539574
