source,destination,active_steps,active_step_ratio,mean_weight,max_weight
cartservice,redis-cart,200,1.000000,31.640465,86.697230
checkoutservice,cartservice,35,0.175000,9.750693,69.734079
checkoutservice,currencyservice,35,0.175000,4.875346,34.867040
checkoutservice,emailservice,35,0.175000,4.875346,34.867040
checkoutservice,paymentservice,35,0.175000,8.531856,61.017319
checkoutservice,productcatalogservice,35,0.175000,4.875346,34.867040
checkoutservice,shippingservice,35,0.175000,7.313019,52.300560
frontend,adservice,191,0.955000,12.433300,35.530804
frontend,cartservice,200,1.000000,24.532422,94.505678
frontend,checkoutservice,35,0.175000,12.188366,87.167599
frontend,currencyservice,200,1.000000,36.972258,103.258847
frontend,productcatalogservice,200,1.000000,40.571255,103.129463
frontend,recommendationservice,200,1.000000,14.136747,60.150947
recommendationservice,productcatalogservice,200,1.000000,18.848996,80.201263
