LAST SEEN   TYPE      REASON              OBJECT                             MESSAGE
10s         Normal    Scheduled           pod/expert-0-5f84c5c6-v5ls8        Successfully assigned moe-live-scale45-markov-20260611t131718z-cga/expert-0-5f84c5c6-v5ls8 to emu-worker-1
9s          Normal    Scheduled           pod/expert-4-5fb59d844f-g5z8z      Successfully assigned moe-live-scale45-markov-20260611t131718z-cga/expert-4-5fb59d844f-g5z8z to emu-worker-4
9s          Normal    Scheduled           pod/expert-2-5bff696bdf-p64kn      Successfully assigned moe-live-scale45-markov-20260611t131718z-cga/expert-2-5bff696bdf-p64kn to emu-worker-10
11s         Normal    Scheduled           pod/tokenizer-85cbd47d-8rztl       Successfully assigned moe-live-scale45-markov-20260611t131718z-cga/tokenizer-85cbd47d-8rztl to emu-worker-1
8s          Normal    Scheduled           pod/expert-5-57cbd7d849-nd9dg      Successfully assigned moe-live-scale45-markov-20260611t131718z-cga/expert-5-57cbd7d849-nd9dg to emu-worker-6
10s         Normal    Scheduled           pod/aggregator-744f776cd4-gmmt8    Successfully assigned moe-live-scale45-markov-20260611t131718z-cga/aggregator-744f776cd4-gmmt8 to emu-worker-1
10s         Normal    Scheduled           pod/cache-59d4f774fb-4spvl         Successfully assigned moe-live-scale45-markov-20260611t131718z-cga/cache-59d4f774fb-4spvl to emu-worker-1
10s         Normal    Scheduled           pod/expert-1-56fdd87b76-lx5hn      Successfully assigned moe-live-scale45-markov-20260611t131718z-cga/expert-1-56fdd87b76-lx5hn to emu-worker-1
11s         Normal    Scheduled           pod/frontend-7f47d57d7d-9cv2x      Successfully assigned moe-live-scale45-markov-20260611t131718z-cga/frontend-7f47d57d7d-9cv2x to emu-worker-1
10s         Normal    Scheduled           pod/router-86d567f4d-ss74x         Successfully assigned moe-live-scale45-markov-20260611t131718z-cga/router-86d567f4d-ss74x to emu-worker-1
9s          Normal    Scheduled           pod/expert-3-57894c4457-6g9ml      Successfully assigned moe-live-scale45-markov-20260611t131718z-cga/expert-3-57894c4457-6g9ml to emu-worker-2
12s         Normal    ScalingReplicaSet   deployment/frontend                Scaled up replica set frontend-7f47d57d7d from 0 to 1
11s         Normal    SuccessfulCreate    replicaset/frontend-7f47d57d7d     Created pod: frontend-7f47d57d7d-9cv2x
11s         Normal    ScalingReplicaSet   deployment/tokenizer               Scaled up replica set tokenizer-85cbd47d from 0 to 1
11s         Normal    SuccessfulCreate    replicaset/cache-59d4f774fb        Created pod: cache-59d4f774fb-4spvl
11s         Normal    SuccessfulCreate    replicaset/router-86d567f4d        Created pod: router-86d567f4d-ss74x
11s         Normal    SuccessfulCreate    replicaset/expert-0-5f84c5c6       Created pod: expert-0-5f84c5c6-v5ls8
11s         Normal    ScalingReplicaSet   deployment/expert-0                Scaled up replica set expert-0-5f84c5c6 from 0 to 1
11s         Normal    ScalingReplicaSet   deployment/router                  Scaled up replica set router-86d567f4d from 0 to 1
11s         Normal    ScalingReplicaSet   deployment/aggregator              Scaled up replica set aggregator-744f776cd4 from 0 to 1
11s         Normal    SuccessfulCreate    replicaset/aggregator-744f776cd4   Created pod: aggregator-744f776cd4-gmmt8
11s         Normal    ScalingReplicaSet   deployment/cache                   Scaled up replica set cache-59d4f774fb from 0 to 1
11s         Normal    SuccessfulCreate    replicaset/expert-1-56fdd87b76     Created pod: expert-1-56fdd87b76-lx5hn
11s         Normal    ScalingReplicaSet   deployment/expert-1                Scaled up replica set expert-1-56fdd87b76 from 0 to 1
11s         Normal    SuccessfulCreate    replicaset/tokenizer-85cbd47d      Created pod: tokenizer-85cbd47d-8rztl
10s         Normal    ScalingReplicaSet   deployment/expert-4                Scaled up replica set expert-4-5fb59d844f from 0 to 1
10s         Normal    ScalingReplicaSet   deployment/expert-3                Scaled up replica set expert-3-57894c4457 from 0 to 1
10s         Normal    SuccessfulCreate    replicaset/expert-3-57894c4457     Created pod: expert-3-57894c4457-6g9ml
10s         Normal    SuccessfulCreate    replicaset/expert-2-5bff696bdf     Created pod: expert-2-5bff696bdf-p64kn
10s         Normal    ScalingReplicaSet   deployment/expert-2                Scaled up replica set expert-2-5bff696bdf from 0 to 1
9s          Normal    ScalingReplicaSet   deployment/expert-5                Scaled up replica set expert-5-57cbd7d849 from 0 to 1
9s          Normal    Pulled              pod/frontend-7f47d57d7d-9cv2x      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
9s          Normal    Started             pod/tokenizer-85cbd47d-8rztl       Container started
9s          Normal    Created             pod/tokenizer-85cbd47d-8rztl       Container created
9s          Normal    Pulled              pod/tokenizer-85cbd47d-8rztl       Container image "python:3.11-slim" already present on machine and can be accessed by the pod
9s          Normal    Started             pod/frontend-7f47d57d7d-9cv2x      Container started
9s          Normal    Created             pod/frontend-7f47d57d7d-9cv2x      Container created
9s          Normal    SuccessfulCreate    replicaset/expert-5-57cbd7d849     Created pod: expert-5-57cbd7d849-nd9dg
9s          Normal    SuccessfulCreate    replicaset/expert-4-5fb59d844f     Created pod: expert-4-5fb59d844f-g5z8z
8s          Normal    Created             pod/router-86d567f4d-ss74x         Container created
8s          Normal    Pulled              pod/router-86d567f4d-ss74x         Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal    Created             pod/expert-1-56fdd87b76-lx5hn      Container created
7s          Normal    Started             pod/expert-4-5fb59d844f-g5z8z      Container started
7s          Normal    Started             pod/expert-2-5bff696bdf-p64kn      Container started
7s          Warning   Unhealthy           pod/router-86d567f4d-ss74x         Readiness probe failed: Get "http://192.168.65.19:8080/healthz": dial tcp 192.168.65.19:8080: connect: connection refused
7s          Normal    Started             pod/router-86d567f4d-ss74x         Container started
7s          Normal    Pulled              pod/expert-4-5fb59d844f-g5z8z      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal    Pulled              pod/expert-1-56fdd87b76-lx5hn      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal    Started             pod/expert-1-56fdd87b76-lx5hn      Container started
7s          Normal    Created             pod/expert-4-5fb59d844f-g5z8z      Container created
7s          Normal    Pulled              pod/expert-2-5bff696bdf-p64kn      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal    Created             pod/expert-2-5bff696bdf-p64kn      Container created
6s          Normal    Pulled              pod/expert-0-5f84c5c6-v5ls8        Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal    Pulled              pod/expert-5-57cbd7d849-nd9dg      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal    Pulled              pod/aggregator-744f776cd4-gmmt8    Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal    Pulled              pod/expert-3-57894c4457-6g9ml      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal    Started             pod/expert-0-5f84c5c6-v5ls8        Container started
6s          Normal    Created             pod/expert-3-57894c4457-6g9ml      Container created
6s          Normal    Started             pod/expert-3-57894c4457-6g9ml      Container started
6s          Normal    Created             pod/expert-0-5f84c5c6-v5ls8        Container created
5s          Normal    Pulled              pod/cache-59d4f774fb-4spvl         Container image "python:3.11-slim" already present on machine and can be accessed by the pod
5s          Normal    Started             pod/aggregator-744f776cd4-gmmt8    Container started
5s          Normal    Created             pod/cache-59d4f774fb-4spvl         Container created
5s          Normal    Created             pod/expert-5-57cbd7d849-nd9dg      Container created
5s          Normal    Started             pod/expert-5-57cbd7d849-nd9dg      Container started
5s          Normal    Created             pod/aggregator-744f776cd4-gmmt8    Container created
5s          Normal    Started             pod/cache-59d4f774fb-4spvl         Container started
