NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE            NOMINATED NODE   READINESS GATES
aggregator-6df8c89f66-xrtzh   1/1     Running   0          14s   192.168.65.20     emu-worker-1    <none>           <none>
cache-589b7c46fb-8frzg        1/1     Running   0          13s   192.168.173.170   emu-worker-8    <none>           <none>
expert-0-84f9464596-wml99     1/1     Running   0          13s   192.168.65.23     emu-worker-1    <none>           <none>
expert-1-6f9f65844d-7zlmr     1/1     Running   0          12s   192.168.65.26     emu-worker-1    <none>           <none>
expert-2-84b758f7d8-tfqzb     1/1     Running   0          11s   192.168.71.87     emu-worker-9    <none>           <none>
expert-3-7fcf9cd788-xtpmn     1/1     Running   0          11s   192.168.82.229    emu-worker-10   <none>           <none>
expert-4-64994445d4-mtzmf     1/1     Running   0          10s   192.168.42.111    emu-worker-3    <none>           <none>
expert-5-5b8d6b6f76-fs9k2     1/1     Running   0          10s   192.168.99.235    emu-worker-6    <none>           <none>
frontend-68849b855b-qfq9l     1/1     Running   0          14s   192.168.65.29     emu-worker-1    <none>           <none>
router-5cfcb749f8-qbtxk       1/1     Running   0          14s   192.168.65.28     emu-worker-1    <none>           <none>
tokenizer-9b6769ddb-q7zss     1/1     Running   0          14s   192.168.65.32     emu-worker-1    <none>           <none>
