NAME                        READY   STATUS    RESTARTS   AGE   IP                NODE           NOMINATED NODE   READINESS GATES
aggregator-d87f74cb-gmbhp   1/1     Running   0          18s   192.168.65.37     emu-worker-1   <none>           <none>
cache-5bd7c6d8db-8mr74      1/1     Running   0          18s   192.168.71.88     emu-worker-9   <none>           <none>
expert-0-77db65857d-fdg4f   1/1     Running   0          17s   192.168.65.36     emu-worker-1   <none>           <none>
expert-1-5d946df866-tp6hh   1/1     Running   0          16s   192.168.65.22     emu-worker-1   <none>           <none>
expert-2-6bf95ff4c4-qx9lw   1/1     Running   0          13s   192.168.173.171   emu-worker-8   <none>           <none>
expert-3-57cb8c7c98-22t7k   1/1     Running   0          12s   192.168.137.236   emu-worker-2   <none>           <none>
expert-4-6db85b7454-26pbz   1/1     Running   0          11s   192.168.222.45    emu-worker-7   <none>           <none>
expert-5-6dfd96fff4-spxvd   1/1     Running   0          9s    192.168.135.119   emu-worker-4   <none>           <none>
frontend-75f9d468b6-fjq4m   1/1     Running   0          21s   192.168.65.39     emu-worker-1   <none>           <none>
router-7cbc66cf6d-cg6wq     1/1     Running   0          20s   192.168.65.33     emu-worker-1   <none>           <none>
tokenizer-5ff86b976-7sdqw   1/1     Running   0          21s   192.168.65.31     emu-worker-1   <none>           <none>
