run_id,metric,unit,dense-pairwise,sparse-aggregate,sources
gda-scalability-synth-20260523T181756Z,latency_p50_ms,ms,n/a,n/a,
gda-scalability-synth-20260523T181756Z,latency_p95_ms,ms,n/a,n/a,
gda-scalability-synth-20260523T181756Z,latency_p99_ms,ms,n/a,n/a,
gda-scalability-synth-20260523T181756Z,throughput_rps,requests/s,n/a,n/a,
gda-scalability-synth-20260523T181756Z,sla_violations,count,n/a,n/a,
gda-scalability-synth-20260523T181756Z,sla_violation_rate,ratio,n/a,n/a,
gda-scalability-synth-20260523T181756Z,scheduler_decision_time_ms,ms,5.5270,7.6365,dense-pairwise:raw/gda_overhead_repetitions.csv#graph_build_cpu_ms; sparse-aggregate:raw/gda_overhead_repetitions.csv#graph_build_cpu_ms
gda-scalability-synth-20260523T181756Z,gda_build_time_ms,ms,5.5296,7.6418,dense-pairwise:raw/gda_overhead_repetitions.csv#graph_build_wall_ms; sparse-aggregate:raw/gda_overhead_repetitions.csv#graph_build_wall_ms
gda-scalability-synth-20260523T181756Z,ndm_injection_time_ms,ms,n/a,n/a,
gda-scalability-synth-20260523T181756Z,cpu_overhead_pct,percent,n/a,n/a,
gda-scalability-synth-20260523T181756Z,memory_overhead_mb,MiB,0.0001,0.7188,dense-pairwise:raw/gda_overhead_repetitions.csv#peak_python_memory_mib; sparse-aggregate:raw/gda_overhead_repetitions.csv#peak_python_memory_mib
gda-scalability-synth-20260523T181756Z,migration_count,count,n/a,n/a,
gda-scalability-synth-20260523T181756Z,network_target_vs_measured_error,unitless,n/a,n/a,
gda-scalability-synth-20260523T181756Z,placement_cost_reduction_pct,percent,n/a,n/a,
