NAME                    TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)        AGE   SELECTOR
adservice               ClusterIP      10.111.83.223    <none>        9555/TCP       65s   app=adservice
cartservice             ClusterIP      10.105.170.213   <none>        7070/TCP       66s   app=cartservice
checkoutservice         ClusterIP      10.109.169.72    <none>        5050/TCP       66s   app=checkoutservice
currencyservice         ClusterIP      10.104.123.239   <none>        7000/TCP       66s   app=currencyservice
emailservice            ClusterIP      10.111.41.207    <none>        5000/TCP       66s   app=emailservice
frontend                ClusterIP      10.110.101.233   <none>        80/TCP         65s   app=frontend
frontend-external       LoadBalancer   10.109.20.169    <pending>     80:30987/TCP   65s   app=frontend
paymentservice          ClusterIP      10.107.52.168    <none>        50051/TCP      66s   app=paymentservice
productcatalogservice   ClusterIP      10.104.209.101   <none>        3550/TCP       66s   app=productcatalogservice
recommendationservice   ClusterIP      10.96.34.119     <none>        8080/TCP       65s   app=recommendationservice
redis-cart              ClusterIP      10.107.129.156   <none>        6379/TCP       66s   app=redis-cart
shippingservice         ClusterIP      10.101.195.71    <none>        50051/TCP      66s   app=shippingservice
