NAME             CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
emu-worker-1     841m         21%      2689Mi          16%         
emu-worker-10    62m          1%       2649Mi          16%         
emu-worker-11    56m          2%       2171Mi          24%         
emu-worker-12    60m          3%       2175Mi          24%         
emu-worker-13    47m          2%       2166Mi          24%         
emu-worker-14    68m          3%       2177Mi          24%         
emu-worker-15    46m          2%       2152Mi          24%         
emu-worker-16    22m          1%       2165Mi          24%         
emu-worker-17    41m          2%       2097Mi          23%         
emu-worker-18    23m          1%       2148Mi          24%         
emu-worker-19    45m          2%       2105Mi          23%         
emu-worker-2     120m         3%       2872Mi          18%         
emu-worker-20    53m          2%       2126Mi          24%         
emu-worker-21    28m          1%       2158Mi          24%         
emu-worker-22    46m          2%       2163Mi          24%         
emu-worker-23    40m          2%       2173Mi          24%         
emu-worker-24    51m          2%       2089Mi          23%         
emu-worker-25    26m          1%       2072Mi          23%         
emu-worker-26    34m          1%       2032Mi          23%         
emu-worker-27    37m          1%       2099Mi          23%         
emu-worker-28    44m          2%       2171Mi          24%         
emu-worker-29    59m          2%       2169Mi          24%         
emu-worker-3     285m         7%       2676Mi          16%         
emu-worker-30    38m          1%       2167Mi          24%         
emu-worker-31    51m          2%       2162Mi          24%         
emu-worker-32    34m          1%       2171Mi          24%         
emu-worker-33    39m          1%       2142Mi          24%         
emu-worker-34    29m          1%       2150Mi          24%         
emu-worker-35    37m          1%       2161Mi          24%         
emu-worker-36    47m          2%       2171Mi          24%         
emu-worker-37    59m          2%       2168Mi          24%         
emu-worker-38    33m          1%       2100Mi          23%         
emu-worker-39    46m          2%       2093Mi          23%         
emu-worker-4     139m         3%       3685Mi          23%         
emu-worker-40    35m          1%       2097Mi          23%         
emu-worker-41    62m          3%       2166Mi          24%         
emu-worker-42    58m          2%       2035Mi          23%         
emu-worker-43    50m          2%       2171Mi          24%         
emu-worker-44    45m          2%       2082Mi          23%         
emu-worker-45    20m          1%       2036Mi          23%         
emu-worker-5     43m          1%       2459Mi          15%         
emu-worker-6     314m         7%       2654Mi          16%         
emu-worker-7     206m         5%       3089Mi          19%         
emu-worker-8     62m          1%       2883Mi          18%         
emu-worker-9     101m         2%       3558Mi          22%         
k8s-emu-master   833m         5%       9896Mi          15%         
