NAME                    ENDPOINTS               AGE
adservice               192.168.135.99:9555     3m39s
cartservice             192.168.137.194:7070    3m40s
checkoutservice         192.168.222.31:5050     3m40s
currencyservice         192.168.42.83:7000      3m40s
emailservice            192.168.99.211:8080     3m40s
frontend                192.168.65.15:8080      3m39s
frontend-external       192.168.65.15:8080      3m39s
paymentservice          192.168.82.197:50051    3m39s
productcatalogservice   192.168.99.210:3550     3m40s
recommendationservice   192.168.222.32:8080     3m39s
redis-cart              192.168.71.72:6379      3m40s
shippingservice         192.168.137.196:50051   3m40s
