NAME                                     CPU(cores)   MEMORY(bytes)   
adservice-596ffcb48b-vgszl               91m          132Mi           
cartservice-677fccb565-bkdgd             79m          89Mi            
checkoutservice-7f6c57f578-d2gtp         5m           50Mi            
currencyservice-c5994dff6-4sv8b          199m         79Mi            
emailservice-56bcfddd6b-jxhlf            7m           78Mi            
frontend-fb5dd4c9-r2mqk                  458m         55Mi            
loadgenerator-cf48c4fd9-nlkp8            8m           86Mi            
paymentservice-778bf4764b-9gp8p          5m           64Mi            
productcatalogservice-77596c6658-jqgwm   219m         51Mi            
recommendationservice-698b757cc8-jmxrc   124m         75Mi            
redis-cart-c89bbfd94-vmm7j               14m          46Mi            
shippingservice-68b96d774-9nx8m          15m          50Mi            
