NAME             CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
emu-worker-1     193m         4%       2628Mi          16%         
emu-worker-10    107m         2%       2654Mi          16%         
emu-worker-11    58m          2%       2173Mi          24%         
emu-worker-12    64m          3%       2170Mi          24%         
emu-worker-13    61m          3%       2168Mi          24%         
emu-worker-14    58m          2%       2180Mi          24%         
emu-worker-15    51m          2%       2155Mi          24%         
emu-worker-16    32m          1%       2165Mi          24%         
emu-worker-17    48m          2%       2099Mi          23%         
emu-worker-18    33m          1%       2149Mi          24%         
emu-worker-19    44m          2%       2105Mi          23%         
emu-worker-2     137m         3%       2862Mi          18%         
emu-worker-20    53m          2%       2130Mi          24%         
emu-worker-21    35m          1%       2159Mi          24%         
emu-worker-22    56m          2%       2163Mi          24%         
emu-worker-23    64m          3%       2176Mi          24%         
emu-worker-24    62m          3%       2090Mi          23%         
emu-worker-25    34m          1%       2072Mi          23%         
emu-worker-26    34m          1%       2037Mi          23%         
emu-worker-27    36m          1%       2098Mi          23%         
emu-worker-28    50m          2%       2176Mi          24%         
emu-worker-29    60m          3%       2168Mi          24%         
emu-worker-3     199m         4%       2697Mi          16%         
emu-worker-30    44m          2%       2168Mi          24%         
emu-worker-31    55m          2%       2164Mi          24%         
emu-worker-32    48m          2%       2168Mi          24%         
emu-worker-33    50m          2%       2144Mi          24%         
emu-worker-34    30m          1%       2150Mi          24%         
emu-worker-35    63m          3%       2162Mi          24%         
emu-worker-36    52m          2%       2170Mi          24%         
emu-worker-37    56m          2%       2168Mi          24%         
emu-worker-38    49m          2%       2104Mi          23%         
emu-worker-39    48m          2%       2093Mi          23%         
emu-worker-4     115m         2%       3621Mi          22%         
emu-worker-40    40m          2%       2098Mi          23%         
emu-worker-41    61m          3%       2165Mi          24%         
emu-worker-42    73m          3%       2033Mi          23%         
emu-worker-43    73m          3%       2171Mi          24%         
emu-worker-44    47m          2%       2082Mi          23%         
emu-worker-45    23m          1%       2035Mi          23%         
emu-worker-5     71m          1%       2464Mi          15%         
emu-worker-6     207m         5%       2667Mi          16%         
emu-worker-7     81m          2%       3094Mi          19%         
emu-worker-8     73m          1%       2968Mi          18%         
emu-worker-9     125m         3%       3567Mi          22%         
k8s-emu-master   594m         3%       9876Mi          15%         
