benchmark,run_id,step,time_s,policy,latency_ms,p95_ms,active_edge_count,request_mix_entropy,gda_total_time_ms
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,9,9.000,kubernetes-default,89.068706,89.068706,7,1.576769,0.008375
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,9,9.000,cga,80.691259,80.691259,7,1.576769,0.008375
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,9,9.000,hda,74.844874,74.844874,7,1.576769,0.008375
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,10,10.000,kubernetes-default,85.250174,85.250174,7,1.578584,0.008336
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,10,10.000,cga,82.001240,82.001240,7,1.578584,0.008336
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,10,10.000,hda,76.882568,76.882568,7,1.578584,0.008336
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,11,11.000,kubernetes-default,88.940378,88.940378,7,1.580465,0.008356
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,11,11.000,cga,81.267166,81.267166,7,1.580465,0.008356
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,11,11.000,hda,81.600936,81.600936,7,1.580465,0.008356
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,12,12.000,kubernetes-default,91.073074,91.073074,7,1.582412,0.007805
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,12,12.000,cga,83.677369,83.677369,7,1.582412,0.007805
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,12,12.000,hda,81.719630,81.719630,7,1.582412,0.007805
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,13,13.000,kubernetes-default,90.105318,90.105318,7,1.584425,0.007934
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,13,13.000,cga,86.239675,86.239675,7,1.584425,0.007934
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,13,13.000,hda,79.269856,79.269856,7,1.584425,0.007934
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,14,14.000,kubernetes-default,86.860067,86.860067,7,1.586505,0.011282
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,14,14.000,cga,81.936749,81.936749,7,1.586505,0.011282
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,14,14.000,hda,78.161368,78.161368,7,1.586505,0.011282
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,15,15.000,kubernetes-default,88.020323,88.020323,7,1.588653,0.008937
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,15,15.000,cga,83.515578,83.515578,7,1.588653,0.008937
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,15,15.000,hda,81.901185,81.901185,7,1.588653,0.008937
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,16,16.000,kubernetes-default,86.868984,86.868984,7,1.590869,0.008005
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,16,16.000,cga,79.769078,79.769078,7,1.590869,0.008005
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,16,16.000,hda,77.122582,77.122582,7,1.590869,0.008005
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,17,17.000,kubernetes-default,83.566601,83.566601,7,1.593153,0.011942
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,17,17.000,cga,77.334516,77.334516,7,1.593153,0.011942
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,17,17.000,hda,76.683545,76.683545,7,1.593153,0.011942
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,18,18.000,kubernetes-default,83.921385,83.921385,7,1.595507,0.007935
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,18,18.000,cga,78.908760,78.908760,7,1.595507,0.007935
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,18,18.000,hda,74.512125,74.512125,7,1.595507,0.007935
