steps,mean_query_latency_ms,p95_query_latency_ms,mean_build_time_ms,p95_build_time_ms,mean_total_time_ms,p95_total_time_ms,mean_active_edges,max_active_edges,benchmark,run_id
500,0.000000,0.000000,0.010198,0.015130,0.010198,0.015130,9.046000,14,online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z
500,0.000000,0.000000,0.016623,0.027561,0.016623,0.027561,8.202000,11,moe-serving,moe-longmix-stageB-scale45-replica5-markov-steps500-20260612T141948Z
