request_id,status,latency_ms,experts,hot_expert,expert_popularity,error
0,200,160.438381,"2,1",0,0.528452;0.230022;0.141403;0.100123,
1,200,97.346214,"0,3",0,0.528452;0.230022;0.141403;0.100123,
2,200,63.356676,"3,2",0,0.528452;0.230022;0.141403;0.100123,
3,200,54.085090,"0,2",0,0.528452;0.230022;0.141403;0.100123,
4,200,60.275365,"0,1",0,0.528452;0.230022;0.141403;0.100123,
5,200,53.368292,"1,2",0,0.528452;0.230022;0.141403;0.100123,
6,200,47.774621,"2,1",0,0.528452;0.230022;0.141403;0.100123,
7,200,48.267699,"0,1",0,0.528452;0.230022;0.141403;0.100123,
8,200,47.045538,"0,3",0,0.528452;0.230022;0.141403;0.100123,
9,200,47.614639,"0,1",0,0.528452;0.230022;0.141403;0.100123,
10,200,48.128467,"1,0",0,0.528452;0.230022;0.141403;0.100123,
11,200,47.389635,"0,2",0,0.528452;0.230022;0.141403;0.100123,
12,200,46.038993,"0,2",0,0.528452;0.230022;0.141403;0.100123,
13,200,44.889568,"0,2",0,0.528452;0.230022;0.141403;0.100123,
14,200,45.369563,"0,2",0,0.528452;0.230022;0.141403;0.100123,
15,200,47.536071,"1,3",3,0.230022;0.141403;0.100123;0.528452,
16,200,49.402666,"0,3",3,0.230022;0.141403;0.100123;0.528452,
17,200,47.520000,"3,1",3,0.230022;0.141403;0.100123;0.528452,
18,200,45.701617,"3,0",3,0.230022;0.141403;0.100123;0.528452,
19,200,44.841549,"3,1",3,0.230022;0.141403;0.100123;0.528452,
20,200,46.954737,"2,0",3,0.230022;0.141403;0.100123;0.528452,
21,200,47.418730,"3,0",3,0.230022;0.141403;0.100123;0.528452,
22,200,46.110017,"3,2",3,0.230022;0.141403;0.100123;0.528452,
23,200,46.747065,"3,0",3,0.230022;0.141403;0.100123;0.528452,
24,200,47.039997,"1,0",3,0.230022;0.141403;0.100123;0.528452,
25,200,46.394832,"0,3",3,0.230022;0.141403;0.100123;0.528452,
26,200,49.014143,"0,3",3,0.230022;0.141403;0.100123;0.528452,
27,200,48.493192,"3,0",3,0.230022;0.141403;0.100123;0.528452,
28,200,49.139890,"3,2",3,0.230022;0.141403;0.100123;0.528452,
29,200,49.097981,"3,0",3,0.230022;0.141403;0.100123;0.528452,
30,200,47.069413,"3,1",2,0.141403;0.100123;0.528452;0.230022,
31,200,46.513297,"1,2",2,0.141403;0.100123;0.528452;0.230022,
32,200,50.824883,"2,1",2,0.141403;0.100123;0.528452;0.230022,
33,200,49.474993,"2,3",2,0.141403;0.100123;0.528452;0.230022,
34,200,48.829777,"3,1",2,0.141403;0.100123;0.528452;0.230022,
35,200,48.097790,"3,2",2,0.141403;0.100123;0.528452;0.230022,
36,200,48.688230,"3,2",2,0.141403;0.100123;0.528452;0.230022,
37,200,48.472685,"3,2",2,0.141403;0.100123;0.528452;0.230022,
38,200,53.071742,"2,3",2,0.141403;0.100123;0.528452;0.230022,
39,200,48.505668,"2,1",2,0.141403;0.100123;0.528452;0.230022,
40,200,50.039364,"2,1",2,0.141403;0.100123;0.528452;0.230022,
41,200,49.270046,"3,0",2,0.141403;0.100123;0.528452;0.230022,
42,200,49.645873,"2,0",2,0.141403;0.100123;0.528452;0.230022,
43,200,48.949072,"0,2",2,0.141403;0.100123;0.528452;0.230022,
44,200,47.481128,"2,0",2,0.141403;0.100123;0.528452;0.230022,
45,200,46.147086,"1,3",1,0.100123;0.528452;0.230022;0.141403,
46,200,45.690206,"1,3",1,0.100123;0.528452;0.230022;0.141403,
47,200,46.182924,"3,1",1,0.100123;0.528452;0.230022;0.141403,
48,200,50.259819,"1,2",1,0.100123;0.528452;0.230022;0.141403,
49,200,49.429456,"1,2",1,0.100123;0.528452;0.230022;0.141403,
50,200,51.117974,"1,0",1,0.100123;0.528452;0.230022;0.141403,
51,200,50.524619,"1,2",1,0.100123;0.528452;0.230022;0.141403,
52,200,48.744928,"0,2",1,0.100123;0.528452;0.230022;0.141403,
53,200,46.978752,"3,0",1,0.100123;0.528452;0.230022;0.141403,
54,200,47.790200,"0,1",1,0.100123;0.528452;0.230022;0.141403,
55,200,46.655443,"1,2",1,0.100123;0.528452;0.230022;0.141403,
56,200,50.378331,"2,0",1,0.100123;0.528452;0.230022;0.141403,
57,200,55.386081,"3,2",1,0.100123;0.528452;0.230022;0.141403,
58,200,49.387598,"1,2",1,0.100123;0.528452;0.230022;0.141403,
59,200,51.514070,"0,1",1,0.100123;0.528452;0.230022;0.141403,
