NAMESPACE         NAME                                                       READY   STATUS    RESTARTS      AGE
calico-system     csi-node-driver-2lv2h                                      2/2     Running   0             19d
calico-system     csi-node-driver-4rs76                                      2/2     Running   0             20d
calico-system     csi-node-driver-5bbrr                                      2/2     Running   0             27d
calico-system     csi-node-driver-629zg                                      2/2     Running   0             19d
calico-system     csi-node-driver-6ftkg                                      2/2     Running   0             20d
calico-system     csi-node-driver-b2d8j                                      2/2     Running   0             19d
calico-system     csi-node-driver-b6sjx                                      2/2     Running   0             19d
calico-system     csi-node-driver-b9n4v                                      2/2     Running   0             19d
calico-system     csi-node-driver-bhndh                                      2/2     Running   0             19d
calico-system     csi-node-driver-bjntx                                      2/2     Running   0             19d
calico-system     csi-node-driver-bnc9b                                      2/2     Running   0             20d
calico-system     csi-node-driver-bwpdj                                      2/2     Running   0             20d
calico-system     csi-node-driver-dkdtx                                      2/2     Running   0             19d
calico-system     csi-node-driver-dnxl2                                      2/2     Running   0             27d
calico-system     csi-node-driver-fwm9d                                      2/2     Running   0             20d
calico-system     csi-node-driver-gmjbq                                      2/2     Running   0             19d
calico-system     csi-node-driver-j8xb7                                      2/2     Running   0             27d
calico-system     csi-node-driver-j9lpj                                      2/2     Running   0             20d
calico-system     csi-node-driver-jftjc                                      2/2     Running   0             19d
calico-system     csi-node-driver-jj5zw                                      2/2     Running   0             27d
calico-system     csi-node-driver-k2hh9                                      2/2     Running   0             27d
calico-system     csi-node-driver-k5597                                      2/2     Running   0             19d
calico-system     csi-node-driver-k6fht                                      2/2     Running   0             19d
calico-system     csi-node-driver-k7bdz                                      2/2     Running   0             19d
calico-system     csi-node-driver-l47vh                                      2/2     Running   0             19d
calico-system     csi-node-driver-l9zcb                                      2/2     Running   0             20d
calico-system     csi-node-driver-mrpr5                                      2/2     Running   0             19d
calico-system     csi-node-driver-n4tkj                                      2/2     Running   0             19d
calico-system     csi-node-driver-n8tvq                                      2/2     Running   0             20d
calico-system     csi-node-driver-ngbfz                                      2/2     Running   0             19d
calico-system     csi-node-driver-nkh7z                                      2/2     Running   0             27d
calico-system     csi-node-driver-nsm6g                                      2/2     Running   0             20d
calico-system     csi-node-driver-p56zg                                      2/2     Running   0             19d
calico-system     csi-node-driver-phbdv                                      2/2     Running   0             19d
calico-system     csi-node-driver-qjq7d                                      2/2     Running   0             19d
calico-system     csi-node-driver-qscn9                                      2/2     Running   0             19d
calico-system     csi-node-driver-r6vzr                                      2/2     Running   0             27d
calico-system     csi-node-driver-s9dnx                                      2/2     Running   0             27d
calico-system     csi-node-driver-sstnp                                      2/2     Running   0             20d
calico-system     csi-node-driver-tsfbm                                      2/2     Running   0             19d
calico-system     csi-node-driver-vg6j8                                      2/2     Running   0             19d
calico-system     csi-node-driver-wpz7w                                      2/2     Running   0             27d
calico-system     csi-node-driver-xrwkk                                      2/2     Running   0             20d
calico-system     csi-node-driver-z549f                                      2/2     Running   0             19d
calico-system     csi-node-driver-zkjmk                                      2/2     Running   0             27d
calico-system     csi-node-driver-zv5dz                                      2/2     Running   0             19d
calico-system     goldmane-6885dcb7d-m7zzn                                   1/1     Running   0             27d
calico-system     whisker-77b6d69555-9r2rf                                   2/2     Running   0             27d
istio-system      istio-ingressgateway-759b55b8c6-jh79k                      1/1     Running   0             22d
istio-system      istiod-5f8d694c87-pzcb2                                    1/1     Running   0             22d
istio-system      prometheus-84d94cc786-shmlj                                2/2     Running   0             21h
kube-system       coredns-589f44dc88-7l8dm                                   1/1     Running   0             27d
kube-system       coredns-589f44dc88-w247v                                   1/1     Running   0             27d
kube-system       etcd-k8s-emu-master                                        1/1     Running   0             27d
kube-system       kube-apiserver-k8s-emu-master                              1/1     Running   0             27d
kube-system       kube-controller-manager-k8s-emu-master                     1/1     Running   2 (13d ago)   27d
kube-system       kube-proxy-25ft7                                           1/1     Running   0             19d
kube-system       kube-proxy-2tvs7                                           1/1     Running   0             20d
kube-system       kube-proxy-4c4nm                                           1/1     Running   0             20d
kube-system       kube-proxy-4d9ml                                           1/1     Running   0             27d
kube-system       kube-proxy-5pjg4                                           1/1     Running   0             20d
kube-system       kube-proxy-66vqx                                           1/1     Running   0             19d
kube-system       kube-proxy-672jc                                           1/1     Running   0             27d
kube-system       kube-proxy-767tg                                           1/1     Running   0             19d
kube-system       kube-proxy-7jqlw                                           1/1     Running   0             19d
kube-system       kube-proxy-86bxl                                           1/1     Running   0             19d
kube-system       kube-proxy-8lk4j                                           1/1     Running   0             19d
kube-system       kube-proxy-8tjpt                                           1/1     Running   0             27d
kube-system       kube-proxy-944wb                                           1/1     Running   0             19d
kube-system       kube-proxy-9xw5m                                           1/1     Running   0             20d
kube-system       kube-proxy-b527n                                           1/1     Running   0             19d
kube-system       kube-proxy-cl4gb                                           1/1     Running   0             20d
kube-system       kube-proxy-fcvp2                                           1/1     Running   0             19d
kube-system       kube-proxy-fwbqj                                           1/1     Running   0             19d
kube-system       kube-proxy-gkpk9                                           1/1     Running   0             27d
kube-system       kube-proxy-gv2dr                                           1/1     Running   0             20d
kube-system       kube-proxy-h789s                                           1/1     Running   0             20d
kube-system       kube-proxy-hcpnp                                           1/1     Running   0             27d
kube-system       kube-proxy-j96xb                                           1/1     Running   0             20d
kube-system       kube-proxy-jwtc2                                           1/1     Running   0             27d
kube-system       kube-proxy-k4cns                                           1/1     Running   0             20d
kube-system       kube-proxy-kx5hj                                           1/1     Running   0             19d
kube-system       kube-proxy-lzj4n                                           1/1     Running   0             19d
kube-system       kube-proxy-m5crw                                           1/1     Running   0             19d
kube-system       kube-proxy-mrzxz                                           1/1     Running   0             19d
kube-system       kube-proxy-n4hvb                                           1/1     Running   0             19d
kube-system       kube-proxy-ngqhj                                           1/1     Running   0             27d
kube-system       kube-proxy-nsfr8                                           1/1     Running   0             19d
kube-system       kube-proxy-pwvzm                                           1/1     Running   0             19d
kube-system       kube-proxy-rhxqn                                           1/1     Running   0             19d
kube-system       kube-proxy-rjpmk                                           1/1     Running   0             19d
kube-system       kube-proxy-rxlhg                                           1/1     Running   0             27d
kube-system       kube-proxy-sscbw                                           1/1     Running   0             19d
kube-system       kube-proxy-ts4r7                                           1/1     Running   0             19d
kube-system       kube-proxy-v2np6                                           1/1     Running   0             27d
kube-system       kube-proxy-w78xp                                           1/1     Running   0             27d
kube-system       kube-proxy-wsz6g                                           1/1     Running   0             19d
kube-system       kube-proxy-wzxhs                                           1/1     Running   0             19d
kube-system       kube-proxy-x6dq2                                           1/1     Running   0             19d
kube-system       kube-proxy-xc9kz                                           1/1     Running   0             20d
kube-system       kube-proxy-z4mb4                                           1/1     Running   0             19d
kube-system       kube-proxy-zwlnl                                           1/1     Running   0             20d
kube-system       kube-scheduler-k8s-emu-master                              1/1     Running   3 (13d ago)   27d
