source,destination,active_steps,active_step_ratio,mean_weight,max_weight
aggregator,cache,430,0.430000,3.130020,9.056468
cache,aggregator,526,0.526000,4.548799,11.451866
expert-0,aggregator,1000,1.000000,51.225723,70.769129
expert-1,aggregator,1000,1.000000,34.497120,46.565141
expert-2,aggregator,1000,1.000000,13.626865,23.341634
expert-3,aggregator,489,0.489000,4.068353,10.831009
frontend,router,1000,1.000000,72.229572,97.817427
frontend,tokenizer,1000,1.000000,52.917106,71.885901
router,cache,829,0.829000,11.529377,23.117688
router,expert-0,1000,1.000000,57.012028,78.792105
router,expert-1,1000,1.000000,38.639478,52.313539
router,expert-2,1000,1.000000,15.342321,26.232429
router,expert-3,541,0.541000,5.030609,12.636177
