step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.333333,0.539530,0.127137,30.000000,48.557687,11.442313,0.912956,0.000000,0.000000,1.000000,0.00000000,116.861191,142.852562,0.818055,0.000000
1,5.000,0.364411,0.522227,0.113362,32.796990,47.000429,10.202581,1.000865,0.000000,0.085721,0.978495,0.01714415,123.493967,142.022700,0.869537,0.000000
2,10.000,0.394957,0.501692,0.103351,35.546122,45.152288,9.301589,0.964318,0.066667,0.081790,0.985663,0.01635793,120.162849,141.101194,0.851608,0.000000
3,15.000,0.424448,0.478277,0.097275,38.200359,43.044888,8.754753,1.041091,0.066667,0.077947,0.985663,0.01558941,122.081042,140.103812,0.871361,0.000000
4,20.000,0.452381,0.452381,0.095238,40.714286,40.714286,8.571429,0.991613,0.066667,0.081336,0.985663,0.01626715,117.157095,139.047619,0.842568,0.000000
5,25.000,0.478277,0.424448,0.097275,43.044888,38.200359,8.754753,0.998532,0.000000,0.056024,0.982340,0.01120488,111.464244,137.950688,0.808001,0.000000
6,30.000,0.501692,0.394957,0.103351,45.152288,35.546122,9.301589,1.042764,0.066667,0.070261,0.985663,0.01405218,113.839446,136.831787,0.831966,0.000000
7,35.000,0.522227,0.364411,0.113362,47.000429,32.796990,10.202581,1.089407,0.000000,0.061768,0.992832,0.01235359,117.298563,135.710060,0.864332,0.000000
8,40.000,0.539530,0.333333,0.127137,48.557687,30.000000,11.442313,0.995897,0.000000,0.105967,0.992832,0.02119342,118.701548,134.604701,0.881853,0.000000
9,45.000,0.553305,0.302256,0.144440,49.797419,27.203010,12.999571,1.019988,0.000000,0.066923,0.985663,0.01338455,111.487019,133.534624,0.834892,0.000000
10,50.000,0.563316,0.271710,0.164975,50.698411,24.453878,14.847712,0.989063,0.000000,0.069860,0.974910,0.01397198,107.036519,132.518136,0.807712,0.000000
11,55.000,0.569392,0.242218,0.188390,51.245247,21.799641,16.955112,1.050836,0.000000,0.076908,0.982079,0.01538159,111.927848,131.572631,0.850692,0.000000
12,60.000,0.571429,0.214286,0.214286,51.428571,19.285714,19.285714,0.959299,0.000000,0.115334,0.971326,0.02306676,107.247929,130.714286,0.820476,0.000000
13,65.000,0.569392,0.188390,0.242218,51.245247,16.955112,21.799641,0.973065,0.000000,0.060798,0.967742,0.01215968,106.979307,129.957788,0.823185,0.000000
14,70.000,0.563316,0.164975,0.271710,50.698411,14.847712,24.453878,0.991224,0.000000,0.058468,0.996416,0.01169369,104.759410,129.316081,0.810104,0.000000
15,75.000,0.553305,0.144440,0.302256,49.797419,12.999571,27.203010,0.891606,0.066667,0.131491,0.992832,0.02629829,100.013034,128.800144,0.776498,0.000000
16,80.000,0.539530,0.127137,0.333333,48.557687,11.442313,30.000000,0.928499,0.142857,0.095314,0.995585,0.01906272,102.015752,128.418806,0.794399,0.000000
17,85.000,0.522227,0.113362,0.364411,47.000429,10.202581,32.796990,0.890720,0.000000,0.075972,1.000000,0.01519435,98.656594,128.178591,0.769681,0.000000
