baseline,p50_latency_ms_absolute_delta,p50_latency_ms_percent_delta_vs_kubernetes,p95_latency_ms_absolute_delta,p95_latency_ms_percent_delta_vs_kubernetes,p99_latency_ms_absolute_delta,p99_latency_ms_percent_delta_vs_kubernetes,policy,scale,sla_violation_rate_absolute_delta,sla_violation_rate_percent_delta_vs_kubernetes,sla_violations_absolute_delta,sla_violations_percent_delta_vs_kubernetes,throughput_rps_absolute_delta,throughput_rps_percent_delta_vs_kubernetes
kubernetes,-12.675977032631636,-23.069407210323003,-25.96402778290212,-19.833290041318854,-14.06335337087512,-10.396872374809487,policy1,scale20,-0.022222222222222223,-55.55555555555556,-2.0,-55.55555555555556,11.970154744134419,7.823253561174516
kubernetes,3.5737882368266582,9.02182400421026,-3.853953303769231,-3.792700489565801,5.473596230149269,5.000762337636314,policy1,scale30,-0.008888888888888889,-80.0,-0.8,-80.0,-1.882313255572683,-1.134210420460565
kubernetes,0.6511596031486988,1.480203011691896,173.58676721341908,175.72141423174526,199.21202338300645,193.9515038377459,policy1,scale45,-0.004444444444444442,-13.333333333333325,-0.3999999999999999,-13.33333333333333,54.637325175801976,61.993140057626704
