distinct_worker_nodes_used,errors,gda_build_time_ms,mean_latency_ms,migration_count,network_target_vs_measured_error,observed_cpu_memory_status,p50_latency_ms,p95_latency_ms,p99_latency_ms,placement,pod_count,policy,repetition,requests,rollout_ready_time_ms,scale,scheduler_decision_time_ms,sla_ms,sla_violation_rate,sla_violations,success,throughput_rps
4,0,,34.8216906371009,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,24.993854109197855,80.69067285396159,82.91228790767491,kubernetes,8,kubernetes,1,90,8958.877627039328,scale20,0.0,150.0,0.0,0,90,219.14984901812585
5,0,,77.6356688597136,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,80.84992202930152,174.06736803241074,176.26318405382335,kubernetes,8,kubernetes,2,90,5290.388704976067,scale20,0.0,150.0,0.07777777777777778,7,90,97.06307121093461
5,0,,66.5044573860036,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,75.18241787329316,155.48791596665978,165.65301991067827,kubernetes,8,kubernetes,3,90,5556.668336968869,scale20,0.0,150.0,0.05555555555555555,5,90,116.12105003918279
4,0,,68.23290716080616,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,72.30916689150035,165.95539008267224,170.24012003093958,kubernetes,8,kubernetes,4,90,5012.143084779382,scale20,0.0,150.0,0.06666666666666667,6,90,113.52248497774856
5,0,,34.73561729511453,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,21.400286117568612,78.35540408268571,81.25754003413022,kubernetes,8,kubernetes,5,90,8167.91182407178,scale20,0.0,150.0,0.0,0,90,219.18040892649725
1,0,,57.275859093190064,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,61.01338192820549,103.73032512143254,112.62586992233992,policy1,8,policy1,1,90,9130.355703877285,scale20,0.0,150.0,0.0,0,90,135.98483784143525
1,0,,35.32522382576846,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,21.354527911171317,81.0439670458436,83.14145915210247,policy1,8,policy1,2,90,6900.894801830873,scale20,0.0,150.0,0.0,0,90,216.31805222996078
1,0,,35.451808533010386,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,22.696055937558413,79.31847800500691,87.11751690134406,policy1,8,policy1,3,90,4798.636215971783,scale20,0.0,150.0,0.0,0,90,216.50171864243111
1,0,,53.60547864757892,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,37.5402020290494,104.46891491301358,150.4748531151563,policy1,8,policy1,4,90,8213.694625999779,scale20,0.0,150.0,0.022222222222222223,2,90,144.62636868887134
1,0,,69.85601250133995,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,68.75159405171871,156.17492701858282,172.64968599192798,policy1,8,policy1,5,90,5498.406364116818,scale20,0.0,150.0,0.06666666666666667,6,90,111.45666049046262
4,0,,55.33820607751194,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,54.20055007562041,104.2809709906578,109.77752297185361,kubernetes,8,kubernetes,1,90,4260.909031843767,scale30,0.0,150.0,0.011111111111111112,1,90,139.56184837310047
3,0,,65.572480032117,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,69.97979898005724,140.71188517846167,165.01424508169293,kubernetes,8,kubernetes,2,90,4630.698093911633,scale30,0.0,150.0,0.044444444444444446,4,90,113.41455239883423
3,0,,35.19948001485318,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,22.676357999444008,78.36953015066683,81.26235799863935,kubernetes,8,kubernetes,3,90,4953.749749809504,scale30,0.0,150.0,0.0,0,90,216.8477994186193
3,0,,43.208825055302846,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,26.961759896948934,92.04192110337317,96.69292019680142,kubernetes,8,kubernetes,4,90,4241.103576961905,scale30,0.0,150.0,0.0,0,90,178.4723898700411
5,0,,42.286888080545594,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,24.245041888207197,92.67078503035009,94.52913491986692,kubernetes,8,kubernetes,5,90,4933.93101496622,scale30,0.0,150.0,0.0,0,90,181.49355364498751
1,0,,54.571070320283376,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,50.59587094001472,107.50527307391167,143.49531708285213,policy1,8,policy1,1,90,5569.393228041008,scale30,0.0,150.0,0.011111111111111112,1,90,135.47931462363385
1,0,,56.634452486307254,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,59.67059195972979,106.12966306507587,114.78645517490804,policy1,8,policy1,2,90,5050.949524855241,scale30,0.0,150.0,0.0,0,90,137.06991486454146
