NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE           NOMINATED NODE   READINESS GATES
aggregator-85dbfc7b9d-5554s   1/1     Running   0          6s    192.168.65.36     emu-worker-1   <none>           <none>
cache-866b945748-44pzq        1/1     Running   0          6s    192.168.99.196    emu-worker-6   <none>           <none>
expert-0-6f6c5887b6-hks2p     1/1     Running   0          6s    192.168.65.39     emu-worker-1   <none>           <none>
expert-1-74454f54b4-zt8gb     1/1     Running   0          6s    192.168.65.37     emu-worker-1   <none>           <none>
expert-2-59cc9547c6-xwpsg     1/1     Running   0          6s    192.168.137.241   emu-worker-2   <none>           <none>
expert-3-684ddd7678-bq7vp     1/1     Running   0          5s    192.168.135.90    emu-worker-4   <none>           <none>
expert-4-6778797bd-k5644      1/1     Running   0          5s    192.168.173.130   emu-worker-8   <none>           <none>
expert-5-68946646bb-w4rj4     1/1     Running   0          5s    192.168.71.123    emu-worker-9   <none>           <none>
frontend-7c65b797f8-jv4z7     1/1     Running   0          6s    192.168.42.74     emu-worker-3   <none>           <none>
router-549d67bc4-p5w8m        1/1     Running   0          6s    192.168.65.35     emu-worker-1   <none>           <none>
tokenizer-747598bcc4-qsdhp    1/1     Running   0          6s    192.168.222.21    emu-worker-7   <none>           <none>
