NAME                          READY   STATUS    RESTARTS   AGE   IP               NODE            NOMINATED NODE   READINESS GATES
aggregator-5d7c674ccf-hwx8z   1/1     Running   0          6s    192.168.65.25    emu-worker-1    <none>           <none>
cache-64f575468c-m7zv2        1/1     Running   0          6s    192.168.65.27    emu-worker-1    <none>           <none>
expert-0-7dd7f88579-rgzn8     1/1     Running   0          5s    192.168.65.34    emu-worker-1    <none>           <none>
expert-1-7f549559f7-rw9nx     1/1     Running   0          5s    192.168.65.26    emu-worker-1    <none>           <none>
expert-2-847f5bd7c4-wlqmc     1/1     Running   0          5s    192.168.82.249   emu-worker-10   <none>           <none>
expert-3-cb45b5c68-c7bsl      1/1     Running   0          5s    192.168.42.73    emu-worker-3    <none>           <none>
expert-4-567f8d647d-qbv95     1/1     Running   0          5s    192.168.222.23   emu-worker-7    <none>           <none>
expert-5-7b4d69cbd8-7grbb     1/1     Running   0          4s    192.168.99.198   emu-worker-6    <none>           <none>
frontend-7c8874b985-q5lkv     1/1     Running   0          6s    192.168.65.23    emu-worker-1    <none>           <none>
router-656c45f887-5q6tq       1/1     Running   0          6s    192.168.65.24    emu-worker-1    <none>           <none>
tokenizer-6d9585698f-pmdzp    1/1     Running   0          6s    192.168.65.22    emu-worker-1    <none>           <none>
