run_id,metric,unit,run,sources
external-hotel-scale10-20260523T172949Z,latency_p50_ms,ms,n/a,
external-hotel-scale10-20260523T172949Z,latency_p95_ms,ms,n/a,
external-hotel-scale10-20260523T172949Z,latency_p99_ms,ms,n/a,
external-hotel-scale10-20260523T172949Z,throughput_rps,requests/s,n/a,
external-hotel-scale10-20260523T172949Z,sla_violations,count,n/a,
external-hotel-scale10-20260523T172949Z,sla_violation_rate,ratio,n/a,
external-hotel-scale10-20260523T172949Z,scheduler_decision_time_ms,ms,n/a,
external-hotel-scale10-20260523T172949Z,gda_build_time_ms,ms,n/a,
external-hotel-scale10-20260523T172949Z,ndm_injection_time_ms,ms,n/a,
external-hotel-scale10-20260523T172949Z,cpu_overhead_pct,percent,n/a,
external-hotel-scale10-20260523T172949Z,memory_overhead_mb,MiB,n/a,
external-hotel-scale10-20260523T172949Z,migration_count,count,n/a,
external-hotel-scale10-20260523T172949Z,network_target_vs_measured_error,unitless,n/a,
external-hotel-scale10-20260523T172949Z,placement_cost_reduction_pct,percent,n/a,
