metric,value
mean_default_cost,641931.85405795
mean_default_latency_ms,28.03872942
mean_default_cost_reduction_pct,0.00000000
manifest_default_bytes,20544.00000000
mean_policy2_cost,336032.63783635
mean_policy2_latency_ms,24.23258450
mean_policy2_cost_reduction_pct,46.75295028
manifest_policy2_bytes,24383.00000000
mean_policy3_cost,339616.63783635
mean_policy3_latency_ms,24.17300183
mean_policy3_cost_reduction_pct,46.18737088
manifest_policy3_bytes,24393.00000000
mean_policy4_cost,336928.63783635
mean_policy4_latency_ms,24.25390562
mean_policy4_cost_reduction_pct,46.61155532
manifest_policy4_bytes,24365.00000000
best_policy,policy2
best_cost_reduction_pct,46.75295028
best_latency_ms,24.23258450
