distinct_worker_nodes_used,errors,gda_build_time_ms,mean_latency_ms,migration_count,network_target_vs_measured_error,observed_cpu_memory_status,p50_latency_ms,p95_latency_ms,p99_latency_ms,placement,pod_count,policy,requests,rollout_ready_time_ms,scale,scheduler_decision_time_ms,sla_ms,sla_violation_rate,sla_violations,success,throughput_rps
3,0,,47.37558613479551,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,33.362108981236815,95.9579449845478,99.8296650359407,kubernetes,8,kubernetes,90,11532.672609086148,scale5,0.0,150.0,0.0,0,90,152.8370429680794
1,0,,40.877922502760256,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,36.77303099539131,85.95527801662683,96.10814601182938,policy1,8,policy1,90,6130.131810903549,scale5,0.0,150.0,0.0,0,90,188.35227991570414
4,0,,35.87948950266259,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,21.173237939365208,80.292226979509,83.59640801791102,kubernetes,8,kubernetes,90,11415.314864018,scale10,0.0,150.0,0.0,0,90,197.63223932337874
1,0,,43.33129077503044,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,40.26361391879618,93.04398694075644,95.67618404980749,policy1,8,policy1,90,7385.5712349759415,scale10,0.0,150.0,0.0,0,90,175.91909083404096
4,0,,64.18664560316958,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,66.80384802166373,119.17349707800895,159.43282307125628,kubernetes,8,kubernetes,90,9617.58800689131,scale20,0.0,150.0,0.044444444444444446,4,90,120.66976692181709
1,0,,69.81512022773839,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,72.62144808191806,123.62834298983216,163.65959402173758,policy1,8,policy1,90,10179.692271980457,scale20,0.0,150.0,0.03333333333333333,3,90,106.73719341973222
5,0,,45.821283175610006,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,41.68026696424931,94.03089305851609,94.66703003272414,kubernetes,8,kubernetes,90,10405.551604111679,scale30,0.0,150.0,0.0,0,90,167.2219929658752
1,0,,74.22559065097529,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,74.29313310422003,161.07396001461893,172.18250397127122,policy1,8,policy1,90,8883.839912945405,scale30,0.0,150.0,0.05555555555555555,5,90,103.88648097523306
5,0,,148.4542832386473,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,74.04199801385403,1047.1859850222245,1051.8984230002388,kubernetes,8,kubernetes,90,9919.626130023971,scale45,0.0,150.0,0.1,9,90,52.90451569662556
1,0,,59.16386221845945,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,59.79211302474141,113.48443198949099,117.51607898622751,policy1,8,policy1,90,8395.568727049977,scale45,0.0,150.0,0.011111111111111112,1,90,130.79876579923234
