run_id,metric,unit,kubernetes,policy1,policy4,sources
live-tc-social-scale45-20260603T074207Z,latency_p50_ms,ms,111.15,39.218,204.40,kubernetes:processed/social_live_tc_metrics.json#p50_latency_ms; policy1:processed/social_live_tc_metrics.json#p50_latency_ms; policy4:processed/social_live_tc_metrics.json#p50_latency_ms
live-tc-social-scale45-20260603T074207Z,latency_p95_ms,ms,416.80,91.381,671.53,kubernetes:processed/social_live_tc_metrics.json#p95_latency_ms; policy1:processed/social_live_tc_metrics.json#p95_latency_ms; policy4:processed/social_live_tc_metrics.json#p95_latency_ms
live-tc-social-scale45-20260603T074207Z,latency_p99_ms,ms,428.12,92.524,688.21,kubernetes:processed/social_live_tc_metrics.json#p99_latency_ms; policy1:processed/social_live_tc_metrics.json#p99_latency_ms; policy4:processed/social_live_tc_metrics.json#p99_latency_ms
live-tc-social-scale45-20260603T074207Z,throughput_rps,requests/s,39.003,168.98,19.872,kubernetes:processed/social_live_tc_metrics.json#throughput_rps; policy1:processed/social_live_tc_metrics.json#throughput_rps; policy4:processed/social_live_tc_metrics.json#throughput_rps
live-tc-social-scale45-20260603T074207Z,sla_violations,count,0.0000,0.0000,0.0000,kubernetes:processed/social_live_tc_metrics.json#errors; policy1:processed/social_live_tc_metrics.json#errors; policy4:processed/social_live_tc_metrics.json#errors
live-tc-social-scale45-20260603T074207Z,sla_violation_rate,ratio,0.0000,0.0000,0.0000,kubernetes:processed/social_live_tc_metrics.json#errors/requests; policy1:processed/social_live_tc_metrics.json#errors/requests; policy4:processed/social_live_tc_metrics.json#errors/requests
live-tc-social-scale45-20260603T074207Z,scheduler_decision_time_ms,ms,n/a,n/a,n/a,
live-tc-social-scale45-20260603T074207Z,gda_build_time_ms,ms,n/a,n/a,n/a,
live-tc-social-scale45-20260603T074207Z,ndm_injection_time_ms,ms,n/a,n/a,n/a,
live-tc-social-scale45-20260603T074207Z,cpu_overhead_pct,percent,n/a,n/a,n/a,
live-tc-social-scale45-20260603T074207Z,memory_overhead_mb,MiB,n/a,n/a,n/a,
live-tc-social-scale45-20260603T074207Z,migration_count,count,n/a,n/a,n/a,
live-tc-social-scale45-20260603T074207Z,network_target_vs_measured_error,unitless,n/a,n/a,n/a,
live-tc-social-scale45-20260603T074207Z,placement_cost_reduction_pct,percent,n/a,n/a,n/a,
