run_id,experiment_type,policy,metric,value,unit,source_file,source_column,status,notes
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,latency_p50_ms,111.1472558695823,ms,processed/social_live_tc_metrics.json,p50_latency_ms,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,latency_p95_ms,416.80405498482287,ms,processed/social_live_tc_metrics.json,p95_latency_ms,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,latency_p99_ms,428.12237120233476,ms,processed/social_live_tc_metrics.json,p99_latency_ms,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,throughput_rps,39.0027476105683,requests/s,processed/social_live_tc_metrics.json,throughput_rps,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,sla_violations,0.0,count,processed/social_live_tc_metrics.json,errors,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,sla_violation_rate,0.0,ratio,processed/social_live_tc_metrics.json,errors/requests,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,scheduler_decision_time_ms,,ms,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,gda_build_time_ms,,ms,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,ndm_injection_time_ms,,ms,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,cpu_overhead_pct,,percent,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,memory_overhead_mb,,MiB,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,migration_count,,count,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,network_target_vs_measured_error,,unitless,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,kubernetes,placement_cost_reduction_pct,,percent,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,latency_p50_ms,39.21799990348518,ms,processed/social_live_tc_metrics.json,p50_latency_ms,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,latency_p95_ms,91.38073888607323,ms,processed/social_live_tc_metrics.json,p95_latency_ms,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,latency_p99_ms,92.52387192100286,ms,processed/social_live_tc_metrics.json,p99_latency_ms,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,throughput_rps,168.97966314989924,requests/s,processed/social_live_tc_metrics.json,throughput_rps,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,sla_violations,0.0,count,processed/social_live_tc_metrics.json,errors,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,sla_violation_rate,0.0,ratio,processed/social_live_tc_metrics.json,errors/requests,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,scheduler_decision_time_ms,,ms,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,gda_build_time_ms,,ms,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,ndm_injection_time_ms,,ms,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,cpu_overhead_pct,,percent,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,memory_overhead_mb,,MiB,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,migration_count,,count,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,network_target_vs_measured_error,,unitless,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy1,placement_cost_reduction_pct,,percent,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,latency_p50_ms,204.39879898913205,ms,processed/social_live_tc_metrics.json,p50_latency_ms,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,latency_p95_ms,671.5301449876279,ms,processed/social_live_tc_metrics.json,p95_latency_ms,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,latency_p99_ms,688.2061909418553,ms,processed/social_live_tc_metrics.json,p99_latency_ms,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,throughput_rps,19.872273932658562,requests/s,processed/social_live_tc_metrics.json,throughput_rps,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,sla_violations,0.0,count,processed/social_live_tc_metrics.json,errors,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,sla_violation_rate,0.0,ratio,processed/social_live_tc_metrics.json,errors/requests,measured,
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,scheduler_decision_time_ms,,ms,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,gda_build_time_ms,,ms,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,ndm_injection_time_ms,,ms,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,cpu_overhead_pct,,percent,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,memory_overhead_mb,,MiB,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,migration_count,,count,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,network_target_vs_measured_error,,unitless,,,unavailable,metric not emitted by this run type
live-tc-social-scale45-20260603T074207Z,live_tc_social,policy4,placement_cost_reduction_pct,,percent,,,unavailable,metric not emitted by this run type
