metric,value
mean_edge_jaccard_distance,0.04780990
mean_weighted_edge_distance,0.16576194
mean_hot_edge_rank_correlation,0.77375091
mean_graph_change_rate_per_s,0.16576196
mean_request_mix_entropy,1.41862356
mean_top3_hotspot_churn,0.16172345
mean_active_edge_count,8.12600000
mean_traffic_stress_gini,0.39149091
mean_traffic_stress_skew,0.86340334
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01064695
mean_gda_total_time_ms,0.01064695
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.70289952
traffic_stress_latency_correlation,0.26599006
kubernetes-default_mean_latency_ms,87.61699585
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.41862356
cga_mean_latency_ms,82.25886053
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.41862356
hda_mean_latency_ms,78.84282142
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.41862356
