run_id,metric,unit,kubernetes,policy1,policy4,sources
live-tc-social-scale20-20260603T073456Z,latency_p50_ms,ms,122.32,41.200,107.06,kubernetes:processed/social_live_tc_metrics.json#p50_latency_ms; policy1:processed/social_live_tc_metrics.json#p50_latency_ms; policy4:processed/social_live_tc_metrics.json#p50_latency_ms
live-tc-social-scale20-20260603T073456Z,latency_p95_ms,ms,396.43,101.13,381.82,kubernetes:processed/social_live_tc_metrics.json#p95_latency_ms; policy1:processed/social_live_tc_metrics.json#p95_latency_ms; policy4:processed/social_live_tc_metrics.json#p95_latency_ms
live-tc-social-scale20-20260603T073456Z,latency_p99_ms,ms,413.86,105.08,393.79,kubernetes:processed/social_live_tc_metrics.json#p99_latency_ms; policy1:processed/social_live_tc_metrics.json#p99_latency_ms; policy4:processed/social_live_tc_metrics.json#p99_latency_ms
live-tc-social-scale20-20260603T073456Z,throughput_rps,requests/s,33.713,152.53,36.269,kubernetes:processed/social_live_tc_metrics.json#throughput_rps; policy1:processed/social_live_tc_metrics.json#throughput_rps; policy4:processed/social_live_tc_metrics.json#throughput_rps
live-tc-social-scale20-20260603T073456Z,sla_violations,count,0.0000,0.0000,0.0000,kubernetes:processed/social_live_tc_metrics.json#errors; policy1:processed/social_live_tc_metrics.json#errors; policy4:processed/social_live_tc_metrics.json#errors
live-tc-social-scale20-20260603T073456Z,sla_violation_rate,ratio,0.0000,0.0000,0.0000,kubernetes:processed/social_live_tc_metrics.json#errors/requests; policy1:processed/social_live_tc_metrics.json#errors/requests; policy4:processed/social_live_tc_metrics.json#errors/requests
live-tc-social-scale20-20260603T073456Z,scheduler_decision_time_ms,ms,n/a,n/a,n/a,
live-tc-social-scale20-20260603T073456Z,gda_build_time_ms,ms,n/a,n/a,n/a,
live-tc-social-scale20-20260603T073456Z,ndm_injection_time_ms,ms,n/a,n/a,n/a,
live-tc-social-scale20-20260603T073456Z,cpu_overhead_pct,percent,n/a,n/a,n/a,
live-tc-social-scale20-20260603T073456Z,memory_overhead_mb,MiB,n/a,n/a,n/a,
live-tc-social-scale20-20260603T073456Z,migration_count,count,n/a,n/a,n/a,
live-tc-social-scale20-20260603T073456Z,network_target_vs_measured_error,unitless,n/a,n/a,n/a,
live-tc-social-scale20-20260603T073456Z,placement_cost_reduction_pct,percent,n/a,n/a,n/a,
