metric,value
mean_edge_jaccard_distance,0.01971042
mean_weighted_edge_distance,0.04831349
mean_hot_edge_rank_correlation,0.99732382
mean_graph_change_rate_per_s,0.00966270
mean_request_mix_entropy,1.18129100
mean_top3_hotspot_churn,0.00200200
mean_active_edge_count,13.31400000
mean_traffic_stress_gini,0.40592827
mean_traffic_stress_skew,1.08933220
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay/model/control-plane
latency_sla_violation_correlation,0.17613963
latency_sla_pressure_correlation,0.59304355
traffic_stress_latency_correlation,-0.11273399
kubernetes-default_mean_latency_ms,104.39653091
kubernetes-default_mean_sla_violation_ratio,0.00003183
kubernetes-default_mean_request_mix_entropy,1.18129100
cga_mean_latency_ms,98.16485752
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.18129100
hda_mean_latency_ms,93.94284045
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.18129100
