policy,policy_display_name,evidence_type,steps,mean_latency_ms,mean_sla_violation_ratio,max_sla_violation_ratio,mean_request_mix_entropy,mean_active_edge_count,migration_count_available,policy_decision_time_available
cga,CGA,replay/model/control-plane,1000,98.164858,0.000000,0.000000,1.181291,13.314000,False,False
hda,HDA,replay/model/control-plane,1000,93.942840,0.000000,0.000000,1.181291,13.314000,False,False
kubernetes-default,K8s default,replay/model/control-plane,1000,104.396531,0.000032,0.031827,1.181291,13.314000,False,False
