run_id,metric,unit,run,sources
policy-smoke-moe-20260523T181205Z,latency_p50_ms,ms,n/a,
policy-smoke-moe-20260523T181205Z,latency_p95_ms,ms,n/a,
policy-smoke-moe-20260523T181205Z,latency_p99_ms,ms,n/a,
policy-smoke-moe-20260523T181205Z,throughput_rps,requests/s,n/a,
policy-smoke-moe-20260523T181205Z,sla_violations,count,n/a,
policy-smoke-moe-20260523T181205Z,sla_violation_rate,ratio,n/a,
policy-smoke-moe-20260523T181205Z,scheduler_decision_time_ms,ms,n/a,
policy-smoke-moe-20260523T181205Z,gda_build_time_ms,ms,n/a,
policy-smoke-moe-20260523T181205Z,ndm_injection_time_ms,ms,n/a,
policy-smoke-moe-20260523T181205Z,cpu_overhead_pct,percent,n/a,
policy-smoke-moe-20260523T181205Z,memory_overhead_mb,MiB,n/a,
policy-smoke-moe-20260523T181205Z,migration_count,count,n/a,
policy-smoke-moe-20260523T181205Z,network_target_vs_measured_error,unitless,n/a,
policy-smoke-moe-20260523T181205Z,placement_cost_reduction_pct,percent,n/a,
