metric,value
mean_edge_jaccard_distance,0.06133468
mean_weighted_edge_distance,0.15700144
mean_hot_edge_rank_correlation,0.82482858
mean_graph_change_rate_per_s,0.03140029
mean_request_mix_entropy,1.03504000
mean_top3_hotspot_churn,0.14070352
mean_active_edge_count,10.96000000
mean_traffic_stress_gini,0.44423851
mean_traffic_stress_skew,0.83011361
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay/model/control-plane
latency_sla_violation_correlation,0.66721303
latency_sla_pressure_correlation,0.93457836
traffic_stress_latency_correlation,0.45860535
kubernetes-default_mean_latency_ms,104.60093327
kubernetes-default_mean_sla_violation_ratio,0.00575893
kubernetes-default_mean_request_mix_entropy,1.03504000
cga_mean_latency_ms,98.32480050
cga_mean_sla_violation_ratio,0.00101396
cga_mean_request_mix_entropy,1.03504000
hda_mean_latency_ms,93.90960952
hda_mean_sla_violation_ratio,0.00012307
hda_mean_request_mix_entropy,1.03504000
