run_id,metric,unit,run,sources
policy-smoke-moe-20260523T181116Z,latency_p50_ms,ms,n/a,
policy-smoke-moe-20260523T181116Z,latency_p95_ms,ms,n/a,
policy-smoke-moe-20260523T181116Z,latency_p99_ms,ms,n/a,
policy-smoke-moe-20260523T181116Z,throughput_rps,requests/s,n/a,
policy-smoke-moe-20260523T181116Z,sla_violations,count,n/a,
policy-smoke-moe-20260523T181116Z,sla_violation_rate,ratio,n/a,
policy-smoke-moe-20260523T181116Z,scheduler_decision_time_ms,ms,n/a,
policy-smoke-moe-20260523T181116Z,gda_build_time_ms,ms,n/a,
policy-smoke-moe-20260523T181116Z,ndm_injection_time_ms,ms,n/a,
policy-smoke-moe-20260523T181116Z,cpu_overhead_pct,percent,n/a,
policy-smoke-moe-20260523T181116Z,memory_overhead_mb,MiB,n/a,
policy-smoke-moe-20260523T181116Z,migration_count,count,n/a,
policy-smoke-moe-20260523T181116Z,network_target_vs_measured_error,unitless,n/a,
policy-smoke-moe-20260523T181116Z,placement_cost_reduction_pct,percent,n/a,
