run_id,metric,unit,run,sources
moe-sidecar-s5-20260523T171503Z,latency_p50_ms,ms,n/a,
moe-sidecar-s5-20260523T171503Z,latency_p95_ms,ms,n/a,
moe-sidecar-s5-20260523T171503Z,latency_p99_ms,ms,n/a,
moe-sidecar-s5-20260523T171503Z,throughput_rps,requests/s,n/a,
moe-sidecar-s5-20260523T171503Z,sla_violations,count,n/a,
moe-sidecar-s5-20260523T171503Z,sla_violation_rate,ratio,n/a,
moe-sidecar-s5-20260523T171503Z,scheduler_decision_time_ms,ms,n/a,
moe-sidecar-s5-20260523T171503Z,gda_build_time_ms,ms,n/a,
moe-sidecar-s5-20260523T171503Z,ndm_injection_time_ms,ms,n/a,
moe-sidecar-s5-20260523T171503Z,cpu_overhead_pct,percent,n/a,
moe-sidecar-s5-20260523T171503Z,memory_overhead_mb,MiB,n/a,
moe-sidecar-s5-20260523T171503Z,migration_count,count,n/a,
moe-sidecar-s5-20260523T171503Z,network_target_vs_measured_error,unitless,n/a,
