run_id,metric,unit,dense-pairwise,sparse-aggregate,sources
gda-scalability-synth-large-20260616T023611Z,latency_p50_ms,ms,n/a,n/a,
gda-scalability-synth-large-20260616T023611Z,latency_p95_ms,ms,n/a,n/a,
gda-scalability-synth-large-20260616T023611Z,latency_p99_ms,ms,n/a,n/a,
gda-scalability-synth-large-20260616T023611Z,throughput_rps,requests/s,n/a,n/a,
gda-scalability-synth-large-20260616T023611Z,sla_violations,count,n/a,n/a,
gda-scalability-synth-large-20260616T023611Z,sla_violation_rate,ratio,n/a,n/a,
gda-scalability-synth-large-20260616T023611Z,scheduler_decision_time_ms,ms,6.0425,24.744,dense-pairwise:raw/gda_overhead_repetitions.csv#graph_build_cpu_ms; sparse-aggregate:raw/gda_overhead_repetitions.csv#graph_build_cpu_ms
gda-scalability-synth-large-20260616T023611Z,gda_build_time_ms,ms,6.0470,24.749,dense-pairwise:raw/gda_overhead_repetitions.csv#graph_build_wall_ms; sparse-aggregate:raw/gda_overhead_repetitions.csv#graph_build_wall_ms
gda-scalability-synth-large-20260616T023611Z,ndm_injection_time_ms,ms,n/a,n/a,
gda-scalability-synth-large-20260616T023611Z,cpu_overhead_pct,percent,n/a,n/a,
gda-scalability-synth-large-20260616T023611Z,memory_overhead_mb,MiB,0.0002,2.3647,dense-pairwise:raw/gda_overhead_repetitions.csv#peak_python_memory_mib; sparse-aggregate:raw/gda_overhead_repetitions.csv#peak_python_memory_mib
gda-scalability-synth-large-20260616T023611Z,migration_count,count,n/a,n/a,
gda-scalability-synth-large-20260616T023611Z,network_target_vs_measured_error,unitless,n/a,n/a,
gda-scalability-synth-large-20260616T023611Z,placement_cost_reduction_pct,percent,n/a,n/a,
