policy,policy_display_name,evidence_type,steps,mean_latency_ms,mean_sla_violation_ratio,max_sla_violation_ratio,mean_request_mix_entropy,mean_active_edge_count,migration_count_available,policy_decision_time_available
cga,CGA,replay,200,78.699924,0.000000,0.000000,1.254241,7.910000,False,False
hda,HDA,replay,200,75.403325,0.000000,0.000000,1.254241,7.910000,False,False
kubernetes-default,K8s default,replay,200,83.900312,0.000000,0.000000,1.254241,7.910000,False,False
