source,destination,active_steps,active_step_ratio,mean_weight,max_weight
cartservice,redis-cart,200,1.000000,32.601356,67.347274
checkoutservice,cartservice,35,0.175000,10.180764,67.409231
checkoutservice,currencyservice,35,0.175000,5.090382,33.704616
checkoutservice,emailservice,35,0.175000,5.090382,33.704616
checkoutservice,paymentservice,35,0.175000,8.908169,58.983077
checkoutservice,productcatalogservice,35,0.175000,5.090382,33.704616
checkoutservice,shippingservice,35,0.175000,7.635573,50.556923
frontend,adservice,137,0.685000,11.012004,33.849000
frontend,cartservice,200,1.000000,25.339759,71.670656
frontend,checkoutservice,35,0.175000,12.725956,84.261539
frontend,currencyservice,200,1.000000,40.648382,107.150597
frontend,productcatalogservice,200,1.000000,39.014474,97.994764
frontend,recommendationservice,200,1.000000,15.892193,57.422935
recommendationservice,productcatalogservice,200,1.000000,21.189590,76.563914
