metric,value
mean_edge_jaccard_distance,0.00753769
mean_weighted_edge_distance,0.05374464
mean_hot_edge_rank_correlation,0.98138633
mean_graph_change_rate_per_s,0.05374462
mean_request_mix_entropy,1.25424109
mean_top3_hotspot_churn,0.01557789
mean_active_edge_count,7.91000000
mean_traffic_stress_gini,0.40328824
mean_traffic_stress_skew,0.70852718
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01148248
mean_gda_total_time_ms,0.01148248
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.54915030
traffic_stress_latency_correlation,-0.04397892
kubernetes-default_mean_latency_ms,83.90031167
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.25424109
cga_mean_latency_ms,78.69992405
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.25424109
hda_mean_latency_ms,75.40332516
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.25424109
