NAME                     TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                                                                       AGE    SELECTOR
consul                   ClusterIP   10.108.31.83     <none>        8300/TCP,8400/TCP,8500/TCP,8600/UDP                                           2m1s   io.kompose.service=consul
frontend                 ClusterIP   10.101.217.147   <none>        5000/TCP                                                                      2m1s   io.kompose.service=frontend
geo                      ClusterIP   10.101.139.125   <none>        8083/TCP                                                                      2m1s   io.kompose.service=geo
jaeger                   ClusterIP   10.103.92.227    <none>        14269/TCP,5778/TCP,14268/TCP,14267/TCP,16686/TCP,5775/UDP,6831/UDP,6832/UDP   2m     io.kompose.service=jaeger
memcached-profile        ClusterIP   10.98.245.80     <none>        11211/TCP                                                                     2m     io.kompose.service=memcached-profile
memcached-rate           ClusterIP   10.107.16.82     <none>        11211/TCP                                                                     2m     io.kompose.service=memcached-rate
memcached-reserve        ClusterIP   10.105.189.114   <none>        11211/TCP                                                                     2m     io.kompose.service=memcached-reserve
mongodb-geo              ClusterIP   10.111.210.118   <none>        27017/TCP                                                                     2m     io.kompose.service=mongodb-geo
mongodb-profile          ClusterIP   10.104.17.207    <none>        27017/TCP                                                                     2m     io.kompose.service=mongodb-profile
mongodb-rate             ClusterIP   10.99.211.192    <none>        27017/TCP                                                                     2m     io.kompose.service=mongodb-rate
mongodb-recommendation   ClusterIP   10.109.29.0      <none>        27017/TCP                                                                     2m     io.kompose.service=mongodb-recommendation
mongodb-reservation      ClusterIP   10.101.254.226   <none>        27017/TCP                                                                     2m     io.kompose.service=mongodb-reservation
mongodb-user             ClusterIP   10.102.100.126   <none>        27017/TCP                                                                     2m     io.kompose.service=mongodb-user
profile                  ClusterIP   10.103.252.2     <none>        8081/TCP                                                                      2m     io.kompose.service=profile
rate                     ClusterIP   10.101.115.244   <none>        8084/TCP                                                                      2m     io.kompose.service=rate
recommendation           ClusterIP   10.101.220.96    <none>        8085/TCP                                                                      2m     io.kompose.service=recommendation
reservation              ClusterIP   10.108.87.64     <none>        8087/TCP                                                                      2m     io.kompose.service=reservation
search                   ClusterIP   10.105.77.163    <none>        8082/TCP                                                                      2m     io.kompose.service=search
user                     ClusterIP   10.108.105.1     <none>        8086/TCP                                                                      119s   io.kompose.service=user
