metric,value
mean_edge_jaccard_distance,0.00128518
mean_weighted_edge_distance,0.03905322
mean_hot_edge_rank_correlation,0.99912630
mean_graph_change_rate_per_s,0.03905322
mean_request_mix_entropy,1.99550270
mean_top3_hotspot_churn,0.00300601
mean_active_edge_count,13.36400000
mean_traffic_stress_gini,0.31834320
mean_traffic_stress_skew,0.94994104
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01215122
mean_gda_total_time_ms,0.01215122
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.32037407
traffic_stress_latency_correlation,-0.24761349
kubernetes-default_mean_latency_ms,90.22936750
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.99550270
cga_mean_latency_ms,84.71448986
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.99550270
hda_mean_latency_ms,81.19395591
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.99550270
