source,destination,active_steps,active_step_ratio,mean_weight,max_weight
cartservice,redis-cart,500,1.000000,36.577518,67.752100
checkoutservice,cartservice,473,0.946000,23.964554,67.362309
checkoutservice,currencyservice,434,0.868000,11.692216,33.681155
checkoutservice,emailservice,434,0.868000,11.692216,33.681155
checkoutservice,paymentservice,468,0.936000,20.921767,58.942021
checkoutservice,productcatalogservice,434,0.868000,11.692216,33.681155
checkoutservice,shippingservice,459,0.918000,17.849478,50.521732
frontend,adservice,500,1.000000,11.705716,23.676321
frontend,cartservice,500,1.000000,17.176849,24.356523
frontend,checkoutservice,480,0.960000,30.034327,84.202887
frontend,currencyservice,500,1.000000,21.866084,41.473012
frontend,productcatalogservice,500,1.000000,36.204505,64.271524
frontend,recommendationservice,500,1.000000,8.337117,11.628117
recommendationservice,productcatalogservice,500,1.000000,11.116155,15.504156
