metric,value
mean_edge_jaccard_distance,0.01698418
mean_weighted_edge_distance,0.04587217
mean_hot_edge_rank_correlation,0.99845013
mean_graph_change_rate_per_s,0.00917444
mean_request_mix_entropy,1.38653266
mean_top3_hotspot_churn,0.00901804
mean_active_edge_count,13.32400000
mean_traffic_stress_gini,0.28769862
mean_traffic_stress_skew,0.59028795
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay/model/control-plane
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.89323057
traffic_stress_latency_correlation,0.63138567
kubernetes-default_mean_latency_ms,104.72640372
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.38653266
cga_mean_latency_ms,98.47276659
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.38653266
hda_mean_latency_ms,94.32466067
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.38653266
