metric,value
mean_edge_jaccard_distance,0.01679863
mean_weighted_edge_distance,0.04634178
mean_hot_edge_rank_correlation,0.99922508
mean_graph_change_rate_per_s,0.00926836
mean_request_mix_entropy,1.38653263
mean_top3_hotspot_churn,0.00450450
mean_active_edge_count,13.31100000
mean_traffic_stress_gini,0.28740519
mean_traffic_stress_skew,0.58884561
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay/model/control-plane
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.89685270
traffic_stress_latency_correlation,0.61210856
kubernetes-default_mean_latency_ms,104.79625501
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.38653263
cga_mean_latency_ms,98.54059818
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.38653263
hda_mean_latency_ms,94.30259214
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.38653263
