policy,policy_display_name,evidence_type,steps,mean_latency_ms,mean_sla_violation_ratio,max_sla_violation_ratio,mean_request_mix_entropy,mean_active_edge_count,migration_count_available,policy_decision_time_available
cga,CGA,replay/model/control-plane,1000,98.540598,0.000000,0.000000,1.386533,13.311000,False,False
hda,HDA,replay/model/control-plane,1000,94.302592,0.000000,0.000000,1.386533,13.311000,False,False
kubernetes-default,K8s default,replay/model/control-plane,1000,104.796255,0.000000,0.000000,1.386533,13.311000,False,False
