source,destination,active_steps,active_step_ratio,mean_weight,max_weight
aggregator,cache,108,0.216000,2.804465,17.534028
cache,aggregator,57,0.114000,3.693890,46.462642
expert-0,aggregator,500,1.000000,52.440602,92.706390
expert-1,aggregator,500,1.000000,34.834277,84.992058
expert-2,aggregator,276,0.552000,12.217193,67.507715
expert-3,aggregator,57,0.114000,3.423690,35.585134
frontend,router,500,1.000000,73.532030,124.852412
frontend,tokenizer,500,1.000000,53.999683,97.707149
router,cache,223,0.446000,9.718625,68.248696
router,expert-0,500,1.000000,58.257716,101.630288
router,expert-1,500,1.000000,38.921249,93.163337
router,expert-2,323,0.646000,14.219983,74.405929
router,expert-3,57,0.114000,3.994305,41.515990
