service_count,repetition,mode,scenario,vertex_count,active_edges,graph_edges,replicas,scrape_interval_seconds,query_count,prometheus_query_latency_ms,graph_build_wall_ms,graph_build_cpu_ms,peak_python_memory_mib,dense_pairwise_enabled,dense_skipped_reason
50,0,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.508762,1.503179,0.118752,True,
50,0,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.23343,0.227576,0.000961,True,
50,1,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.201162,1.198327,0.116074,True,
50,1,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.225004,0.222637,0.000114,True,
50,2,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.169282,1.166236,0.101135,True,
50,2,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.228802,0.226365,0.000114,True,
50,3,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.146298,1.143594,0.115982,True,
50,3,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.224483,0.222337,0.000114,True,
50,4,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.546242,1.543845,0.101242,True,
50,4,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.225926,0.223709,0.000114,True,
50,5,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.102155,1.099811,0.116514,True,
50,5,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.227769,0.225693,0.000114,True,
50,6,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.076307,1.073713,0.101196,True,
50,6,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.225785,0.223589,0.000114,True,
100,0,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,3.313561,3.309616,0.240623,True,
100,0,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.827047,0.812483,0.000168,True,
100,1,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,2.593383,2.590157,0.240807,True,
100,1,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.837377,0.834875,0.000168,True,
100,2,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,2.609154,2.606147,0.240807,True,
100,2,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.837388,0.834324,0.000168,True,
100,3,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,2.427681,2.424726,0.240807,True,
100,3,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.899825,0.896411,0.000168,True,
100,4,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,3.401566,3.39725,0.238815,True,
100,4,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,1.318653,1.314966,0.000145,True,
100,5,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,2.149388,2.146685,0.228172,True,
100,5,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.893663,0.8909,0.000168,True,
100,6,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,2.289051,2.286137,0.241075,True,
