metric,value
mean_edge_jaccard_distance,0.01265222
mean_weighted_edge_distance,0.04861888
mean_hot_edge_rank_correlation,0.99932447
mean_graph_change_rate_per_s,0.48618904
mean_request_mix_entropy,2.96801109
mean_top3_hotspot_churn,0.00502513
mean_active_edge_count,10.81000000
mean_traffic_stress_gini,0.35809050
mean_traffic_stress_skew,0.21465121
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01551594
mean_gda_total_time_ms,0.01551594
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.84032154
traffic_stress_latency_correlation,0.63930648
kubernetes-default_mean_latency_ms,82.94784388
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,2.96801109
cga_mean_latency_ms,77.64428288
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,2.96801109
hda_mean_latency_ms,74.39573454
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,2.96801109
policy2_mean_latency_ms,76.27636381
policy2_mean_sla_violation_ratio,0.00000000
policy2_mean_request_mix_entropy,2.96801109
policy3_mean_latency_ms,75.28105089
policy3_mean_sla_violation_ratio,0.00000000
policy3_mean_request_mix_entropy,2.96801109
