source,destination,active_steps,active_step_ratio,mean_weight,max_weight
aggregator,cache,84,0.420000,3.080163,8.891798
cache,aggregator,105,0.525000,4.527417,11.280484
expert-0,aggregator,200,1.000000,51.287124,70.707172
expert-1,aggregator,200,1.000000,34.527144,45.829367
expert-2,aggregator,200,1.000000,13.637888,23.221662
expert-3,aggregator,97,0.485000,4.032605,10.850515
frontend,router,200,1.000000,72.299804,96.975617
frontend,tokenizer,200,1.000000,52.972055,71.528563
router,cache,166,0.830000,11.512235,22.551850
router,expert-0,200,1.000000,57.077954,78.578555
router,expert-1,200,1.000000,38.671264,51.632148
router,expert-2,200,1.000000,15.353742,26.061947
router,expert-3,110,0.550000,5.054864,12.658935
