benchmark,run_id,namespace,scale,replica_level,replica_config,workload_mode,repeat,policy,policy_display_name,step,time_s,evidence_type,request_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count,latency_ms,p50_ms,p95_ms,p99_ms,throughput_rps,error_rate,sla_ms,sla_pressure,sla_violation_ratio,worker_nodes_selected,actual_app_pods,ready_app_pods,non_empty_worker_nodes,pod_node_occupancy_ratio,pod_restarts,total_pods,cluster_cpu_utilization,cluster_memory_utilization,top_node_cpu_utilization
moe-serving,moe-longmix-stageA-scale20-replica3-sinusoidal-steps200-20260612T141945Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,sinusoidal,,kubernetes-default,K8s default,0,0.000,replay,mixed,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,0.000000,0.019346,0.019346,9,13,0,78.844257,78.844257,78.844257,78.844257,90.000000,0.000000,132.125240,0.596739,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-sinusoidal-steps200-20260612T141945Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,sinusoidal,,cga,CGA,0,0.000,replay,mixed,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,0.000000,0.019346,0.019346,9,13,0,78.227936,78.227936,78.227936,78.227936,90.000000,0.000000,132.125240,0.592074,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-sinusoidal-steps200-20260612T141945Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,sinusoidal,,hda,HDA,0,0.000,replay,mixed,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,0.000000,0.019346,0.019346,9,13,0,73.181048,73.181048,73.181048,73.181048,90.000000,0.000000,132.125240,0.553876,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-sinusoidal-steps200-20260612T141945Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,sinusoidal,,policy2,Policy 2,0,0.000,replay,mixed,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,0.000000,0.019346,0.019346,9,13,0,74.480677,74.480677,74.480677,74.480677,90.000000,0.000000,132.125240,0.563713,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-sinusoidal-steps200-20260612T141945Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,sinusoidal,,policy3,Policy 3,0,0.000,replay,mixed,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,0.000000,0.019346,0.019346,9,13,0,70.162876,70.162876,70.162876,70.162876,90.000000,0.000000,132.125240,0.531033,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-sinusoidal-steps200-20260612T141945Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,sinusoidal,,kubernetes-default,K8s default,1,0.100,replay,mixed,0.969753,0.004285,13,2.968015,0.000000,0.390242,0.538565,,,0.000000,0.015660,0.015660,9,13,0,83.487607,83.487607,83.487607,83.487607,90.000000,0.000000,132.245730,0.631307,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-sinusoidal-steps200-20260612T141945Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,sinusoidal,,cga,CGA,1,0.100,replay,mixed,0.969753,0.004285,13,2.968015,0.000000,0.390242,0.538565,,,0.000000,0.015660,0.015660,9,13,0,75.427408,75.427408,75.427408,75.427408,90.000000,0.000000,132.245730,0.570358,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-sinusoidal-steps200-20260612T141945Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,sinusoidal,,hda,HDA,1,0.100,replay,mixed,0.969753,0.004285,13,2.968015,0.000000,0.390242,0.538565,,,0.000000,0.015660,0.015660,9,13,0,74.045069,74.045069,74.045069,74.045069,90.000000,0.000000,132.245730,0.559905,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-sinusoidal-steps200-20260612T141945Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,sinusoidal,,policy2,Policy 2,1,0.100,replay,mixed,0.969753,0.004285,13,2.968015,0.000000,0.390242,0.538565,,,0.000000,0.015660,0.015660,9,13,0,74.055162,74.055162,74.055162,74.055162,90.000000,0.000000,132.245730,0.559981,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-sinusoidal-steps200-20260612T141945Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,sinusoidal,,policy3,Policy 3,1,0.100,replay,mixed,0.969753,0.004285,13,2.968015,0.000000,0.390242,0.538565,,,0.000000,0.015660,0.015660,9,13,0,72.972376,72.972376,72.972376,72.972376,90.000000,0.000000,132.245730,0.551794,0.000000,20,31,31,20,1.000000,,31,,,
