step,time_s,p_single_expert,p_multi_expert_top2,p_multi_expert_top4,p_cache_hit,p_cache_miss,p_payload_small,p_payload_large,p_batch_small,p_batch_large,qps_single_expert,qps_multi_expert_top2,qps_multi_expert_top4,qps_cache_hit,qps_cache_miss,qps_payload_small,qps_payload_large,qps_batch_small,qps_batch_large,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
14,1.400,0.655354,0.031933,0.031933,0.031933,0.073936,0.031933,0.031933,0.031933,0.079111,58.981822,2.873992,2.873992,2.873992,6.654238,2.873992,2.873992,2.873992,7.119990,1.031876,0.000000,0.012494,1.000000,0.12493969,1.918923,0.000000,10,0.446806,0.459785,,,68.487959,116.452444,0.588120,0.000000
15,1.500,0.650069,0.031839,0.031839,0.031839,0.076656,0.031839,0.031839,0.031839,0.082239,58.506187,2.865550,2.865550,2.865550,6.899039,2.865550,2.865550,2.865550,7.401472,1.013258,0.000000,0.015695,1.000000,0.15695109,1.934381,0.000000,10,0.444229,0.458677,,,67.007347,117.004571,0.572690,0.000000
16,1.600,0.644822,0.031747,0.031747,0.031747,0.079350,0.031747,0.031747,0.031747,0.085349,58.033984,2.857190,2.857190,2.857190,7.141483,2.857190,2.857190,2.857190,7.681391,1.057042,0.000000,0.045625,1.000000,0.45625263,1.949357,0.000000,10,0.441692,0.457455,,,75.407803,117.553103,0.641479,0.000000
17,1.700,0.639613,0.031655,0.031655,0.031655,0.082017,0.031655,0.031655,0.031655,0.088442,57.565210,2.848912,2.848912,2.848912,7.381540,2.848912,2.848912,2.848912,7.959775,1.055676,0.000000,0.004811,1.000000,0.04810766,1.963871,0.000000,10,0.439193,0.456117,,,70.584324,118.098067,0.597676,0.000000
18,1.800,0.634443,0.031564,0.031564,0.031564,0.084658,0.031564,0.031564,0.031564,0.091518,57.099859,2.840718,2.840718,2.840718,7.619179,2.840718,2.840718,2.840718,8.236655,0.987041,0.000000,0.060984,1.000000,0.60983949,1.977939,0.000000,10,0.436732,0.454667,,,71.395719,118.639489,0.601787,0.000000
19,1.900,0.629310,0.031473,0.031473,0.031473,0.087271,0.031473,0.031473,0.031473,0.094578,56.637924,2.832608,2.832608,2.832608,7.854371,2.832608,2.832608,2.832608,8.512058,1.058129,0.000000,0.071147,1.000000,0.71146626,1.991578,0.000000,10,0.434308,0.453103,,,75.024354,119.177398,0.629518,0.000000
20,2.000,0.624216,0.031384,0.031384,0.031384,0.089857,0.031384,0.031384,0.031384,0.097622,56.179398,2.824583,2.824583,2.824583,8.087087,2.824583,2.824583,2.824583,8.786015,1.009508,0.000000,0.041921,1.000000,0.41921183,2.004803,0.000000,10,0.431920,0.451428,,,72.596227,119.711826,0.606425,0.000000
21,2.100,0.619159,0.031296,0.031296,0.031296,0.092414,0.031296,0.031296,0.031296,0.100651,55.724273,2.816645,2.816645,2.816645,8.317302,2.816645,2.816645,2.816645,9.058556,1.061507,0.000000,0.052944,1.000000,0.52943979,2.017629,0.000000,10,0.429568,0.449642,,,82.119258,120.242801,0.682945,0.000000
22,2.200,0.614139,0.031209,0.031209,0.031209,0.094944,0.031209,0.031209,0.031209,0.103663,55.272539,2.808793,2.808793,2.808793,8.544990,2.808793,2.808793,2.808793,9.329711,0.989571,0.000000,0.063912,1.000000,0.63912285,2.030069,0.000000,10,0.427250,0.447746,,,72.665906,120.770356,0.601687,0.000000
23,2.300,0.609158,0.031123,0.031123,0.031123,0.097446,0.031123,0.031123,0.031123,0.106661,54.824184,2.801030,2.801030,2.801030,8.770124,2.801030,2.801030,2.801030,9.599511,1.066518,0.000000,0.075931,1.000000,0.75931262,2.042137,0.000000,10,0.424966,0.445741,,,81.829770,121.294523,0.674637,0.000000
24,2.400,0.604213,0.031037,0.031037,0.031037,0.099919,0.031037,0.031037,0.031037,0.109644,54.379197,2.793356,2.793356,2.793356,8.992683,2.793356,2.793356,2.793356,9.867985,1.006385,0.000000,0.052558,1.000000,0.52557616,2.053844,0.000000,10,0.422715,0.443629,,,72.302414,121.815337,0.593541,0.000000
25,2.500,0.599306,0.030953,0.030953,0.030953,0.102363,0.030953,0.030953,0.030953,0.112613,53.937565,2.785771,2.785771,2.785771,9.212642,2.785771,2.785771,2.785771,10.135167,1.077849,0.000000,0.070033,1.000000,0.70033179,2.065203,0.000000,10,0.420497,0.441410,,,79.617666,122.332830,0.650828,0.000000
26,2.600,0.594436,0.030870,0.030870,0.030870,0.104778,0.030870,0.030870,0.030870,0.115568,53.499275,2.778277,2.778277,2.778277,9.429980,2.778277,2.778277,2.778277,10.401086,1.085278,0.000000,0.010843,1.000000,0.10843408,2.076225,0.000000,10,0.418311,0.439086,,,69.088315,122.847039,0.562393,0.000000
27,2.700,0.589603,0.030787,0.030787,0.030787,0.107163,0.030787,0.030787,0.030787,0.118509,53.064311,2.770873,2.770873,2.770873,9.644676,2.770873,2.770873,2.770873,10.665773,1.041070,0.000000,0.036961,1.000000,0.36961349,2.086920,0.000000,10,0.416155,0.436658,,,74.517626,123.357999,0.604076,0.000000
28,2.800,0.584807,0.030706,0.030706,0.030706,0.109519,0.030706,0.030706,0.030706,0.121436,52.632659,2.763562,2.763562,2.763562,9.856708,2.763562,2.763562,2.763562,10.929262,1.010416,0.000000,0.025664,0.987879,0.25663899,2.097298,0.000000,10,0.414082,0.434126,,,72.608435,123.865748,0.586187,0.000000
29,2.900,0.580048,0.030626,0.030626,0.030626,0.111845,0.030626,0.030626,0.030626,0.124351,52.204301,2.756343,2.756343,2.756343,10.066059,2.756343,2.756343,2.756343,11.191583,1.015355,0.000000,0.008884,1.000000,0.08883767,2.107369,0.000000,10,0.412173,0.431493,,,76.180556,124.370321,0.612530,0.000000
30,3.000,0.575325,0.030547,0.030547,0.030547,0.114141,0.030547,0.030547,0.030547,0.127253,51.779221,2.749217,2.749217,2.749217,10.272710,2.749217,2.749217,2.749217,11.452768,1.076920,0.000000,0.060756,1.000000,0.60755835,2.117142,0.000000,10,0.410290,0.428760,,,75.993993,124.871758,0.608576,0.000000
31,3.100,0.570638,0.030469,0.030469,0.030469,0.116407,0.030469,0.030469,0.030469,0.130143,51.357400,2.742185,2.742185,2.742185,10.476642,2.742185,2.742185,2.742185,11.712849,1.055617,0.000000,0.016072,1.000000,0.16072420,2.126627,0.000000,10,0.408434,0.425927,,,80.075314,125.370098,0.638711,0.000000
32,3.200,0.565987,0.030392,0.030392,0.030392,0.118643,0.030392,0.030392,0.030392,0.133021,50.938819,2.735247,2.735247,2.735247,10.677839,2.735247,2.735247,2.735247,11.971860,1.062638,0.000000,0.010396,0.987879,0.10396129,2.135831,0.000000,10,0.406695,0.422996,,,78.595397,125.865379,0.624440,0.000000
33,3.300,0.561372,0.030316,0.030316,0.030316,0.120848,0.030316,0.030316,0.030316,0.135887,50.523460,2.728404,2.728404,2.728404,10.876285,2.728404,2.728404,2.728404,12.229831,1.068063,0.000000,0.008934,1.000000,0.08933870,2.144763,0.000000,10,0.405057,0.419969,,,83.605994,126.357641,0.661662,0.000000
34,3.400,0.556792,0.030241,0.030241,0.030241,0.123022,0.030241,0.030241,0.030241,0.138742,50.111302,2.721656,2.721656,2.721656,11.071964,2.721656,2.721656,2.721656,12.486795,1.011892,0.000000,0.049106,1.000000,0.49105622,2.153431,0.000000,10,0.403442,0.416846,,,81.541138,126.846925,0.642831,0.000000
35,3.500,0.552248,0.030167,0.030167,0.030167,0.125165,0.030167,0.030167,0.030167,0.141587,49.702324,2.715005,2.715005,2.715005,11.264862,2.715005,2.715005,2.715005,12.742786,1.048180,0.000000,0.038127,1.000000,0.38127481,2.161842,0.000000,10,0.401849,0.413629,,,78.657484,127.333273,0.617729,0.000000
36,3.600,0.547739,0.030094,0.030094,0.030094,0.127277,0.030094,0.030094,0.030094,0.144420,49.296504,2.708450,2.708450,2.708450,11.454963,2.708450,2.708450,2.708450,12.997836,0.988865,0.000000,0.053180,1.000000,0.53179842,2.170003,0.000000,10,0.400277,0.410320,,,79.962786,127.816725,0.625605,0.000000
37,3.700,0.543265,0.030022,0.030022,0.030022,0.129358,0.030022,0.030022,0.030022,0.147244,48.893820,2.701991,2.701991,2.701991,11.642256,2.701991,2.701991,2.701991,13.251977,1.034256,0.000000,0.047299,1.000000,0.47298876,2.177922,0.000000,10,0.398727,0.406919,,,80.633648,128.297323,0.628490,0.000000
38,3.800,0.538825,0.029951,0.029951,0.029951,0.131408,0.029951,0.029951,0.029951,0.150058,48.494250,2.695630,2.695630,2.695630,11.826727,2.695630,2.695630,2.695630,13.505242,1.032812,0.000000,0.003712,1.000000,0.03711817,2.185605,0.000000,10,0.397197,0.403429,,,76.932920,128.775111,0.597421,0.000000
39,3.900,0.534420,0.029882,0.029882,0.029882,0.133426,0.029882,0.029882,0.029882,0.152863,48.097770,2.689367,2.689367,2.689367,12.008364,2.689367,2.689367,2.689367,13.757665,0.978712,0.000000,0.049048,1.000000,0.49047566,2.193059,0.000000,10,0.395688,0.399849,,,81.028348,129.250131,0.626911,0.000000
40,4.000,0.530048,0.029813,0.029813,0.029813,0.135413,0.029813,0.029813,0.029813,0.155659,47.704357,2.683202,2.683202,2.683202,12.187155,2.683202,2.683202,2.683202,14.009278,1.026541,0.000000,0.049907,1.000000,0.49907055,2.200290,0.000000,10,0.394199,0.396182,,,85.716150,129.722427,0.660766,0.000000
41,4.100,0.525711,0.029746,0.029746,0.029746,0.137368,0.029746,0.029746,0.029746,0.158446,47.313986,2.677135,2.677135,2.677135,12.363091,2.677135,2.677135,2.677135,14.260115,1.036085,0.000000,0.012626,1.000000,0.12625821,2.207304,0.000000,10,0.392730,0.392429,,,79.507334,130.192042,0.610693,0.000000
42,4.200,0.521407,0.029680,0.029680,0.029680,0.139291,0.029680,0.029680,0.029680,0.161225,46.926631,2.671167,2.671167,2.671167,12.536159,2.671167,2.671167,2.671167,14.510208,0.992743,0.000000,0.038547,1.000000,0.38546745,2.214106,0.000000,10,0.391279,0.388591,,,80.605436,130.659021,0.616914,0.000000
43,4.300,0.517136,0.029614,0.029614,0.029614,0.141182,0.029614,0.029614,0.029614,0.163995,46.542269,2.665298,2.665298,2.665298,12.706351,2.665298,2.665298,2.665298,14.759591,0.998988,0.000000,0.009710,1.000000,0.09709716,2.220703,0.000000,10,0.389848,0.384670,,,82.013046,131.123408,0.625465,0.000000
44,4.400,0.512899,0.029550,0.029550,0.029550,0.143041,0.029550,0.029550,0.029550,0.166759,46.160872,2.659529,2.659529,2.659529,12.873656,2.659529,2.659529,2.659529,15.008297,1.035066,0.000000,0.038101,1.000000,0.38100559,2.227100,0.000000,10,0.388434,0.380666,,,86.966804,131.585248,0.660916,0.000000
45,4.500,0.508693,0.029487,0.029487,0.029487,0.144867,0.029487,0.029487,0.029487,0.169515,45.782415,2.653860,2.653860,2.653860,13.038067,2.653860,2.653860,2.653860,15.256360,1.049326,0.000000,0.016879,1.000000,0.16878931,2.233302,0.000000,10,0.387039,0.376582,,,80.247634,132.044587,0.607731,0.000000
46,4.600,0.504521,0.029425,0.029425,0.029425,0.146662,0.029425,0.029425,0.029425,0.172265,45.406871,2.648291,2.648291,2.648291,13.199575,2.648291,2.648291,2.648291,15.503811,0.969583,0.000000,0.072927,1.000000,0.72927141,2.239314,0.000000,10,0.385661,0.372417,,,83.574165,132.501468,0.630741,0.000000
47,4.700,0.500380,0.029365,0.029365,0.029365,0.148424,0.029365,0.029365,0.029365,0.175008,45.034213,2.642822,2.642822,2.642822,13.358171,2.642822,2.642822,2.642822,15.750686,0.951842,0.000000,0.015065,1.000000,0.15064598,2.245141,0.000000,10,0.384301,0.368174,,,81.209184,132.955940,0.610798,0.000000
48,4.800,0.496271,0.029305,0.029305,0.029305,0.150154,0.029305,0.029305,0.029305,0.177745,44.664413,2.637453,2.637453,2.637453,13.513850,2.637453,2.637453,2.637453,15.997017,1.014821,0.000000,0.065115,1.000000,0.65114947,2.250788,0.000000,10,0.382957,0.363853,,,89.512312,133.408047,0.670966,0.000000
49,4.900,0.492194,0.029247,0.029247,0.029247,0.151851,0.029247,0.029247,0.029247,0.180476,44.297444,2.632186,2.632186,2.632186,13.666602,2.632186,2.632186,2.632186,16.242837,0.989394,0.000000,0.021894,1.000000,0.21893851,2.256259,0.000000,10,0.381630,0.359457,,,84.650383,133.857836,0.632390,0.000000
50,5.000,0.488148,0.029189,0.029189,0.029189,0.153516,0.029189,0.029189,0.029189,0.183202,43.933278,2.627020,2.627020,2.627020,13.816423,2.627020,2.627020,2.627020,16.488180,0.947055,0.000000,0.039712,1.000000,0.39712018,2.261559,0.000000,10,0.380319,0.354985,,,84.685222,134.305353,0.630542,0.000000
51,5.100,0.484132,0.029133,0.029133,0.029133,0.155148,0.029133,0.029133,0.029133,0.185923,43.571885,2.621955,2.621955,2.621955,13.963305,2.621955,2.621955,2.621955,16.733080,1.030280,0.000000,0.083706,1.000000,0.83706224,2.266692,0.000000,10,0.379024,0.350439,,,88.099949,134.750645,0.653800,0.000000
52,5.200,0.480147,0.029078,0.029078,0.029078,0.156747,0.029078,0.029078,0.029078,0.188640,43.213239,2.616992,2.616992,2.616992,14.107243,2.616992,2.616992,2.616992,16.977569,0.951406,0.000000,0.073626,1.000000,0.73626120,2.271662,0.000000,10,0.377744,0.345821,,,84.869277,135.193760,0.627760,0.000000
53,5.300,0.476192,0.029024,0.029024,0.029024,0.158314,0.029024,0.029024,0.029024,0.191352,42.857308,2.612130,2.612130,2.612130,14.248231,2.612130,2.612130,2.612130,17.221681,0.987303,0.000000,0.039384,1.000000,0.39383796,2.276474,0.000000,10,0.376480,0.341131,,,88.147999,135.634744,0.649892,0.000000
54,5.400,0.472267,0.028971,0.028971,0.028971,0.159847,0.028971,0.028971,0.028971,0.194061,42.504065,2.607370,2.607370,2.607370,14.386265,2.607370,2.607370,2.607370,17.465449,0.938690,0.000000,0.046265,1.000000,0.46264988,2.281130,0.000000,10,0.375231,0.336370,,,88.762373,136.073644,0.652311,0.000000
55,5.500,0.468372,0.028919,0.028919,0.028919,0.161348,0.028919,0.028919,0.028919,0.196766,42.153478,2.602712,2.602712,2.602712,14.521339,2.602712,2.602712,2.602712,17.708908,1.009642,0.000000,0.073153,1.000000,0.73152653,2.285635,0.000000,10,0.373996,0.331539,,,88.027059,136.510509,0.644837,0.000000
56,5.600,0.464506,0.028868,0.028868,0.028868,0.162816,0.028868,0.028868,0.028868,0.199468,41.805520,2.598157,2.598157,2.598157,14.653449,2.598157,2.598157,2.598157,17.952089,0.955367,0.000000,0.050838,1.000000,0.50837671,2.289993,0.000000,10,0.372775,0.326640,,,86.628081,136.945386,0.632574,0.000000
57,5.700,0.460668,0.028819,0.028819,0.028819,0.164251,0.028819,0.028819,0.028819,0.202167,41.460159,2.593704,2.593704,2.593704,14.782591,2.593704,2.593704,2.593704,18.195027,0.927286,0.000000,0.026420,1.000000,0.26419515,2.294207,0.000000,10,0.371569,0.321673,,,88.471727,137.378322,0.644001,0.000000
