step,time_s,hot_expert,expert_0_popularity,expert_1_popularity,expert_2_popularity,expert_3_popularity,expert_4_popularity,expert_5_popularity
0,0.000,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
1,0.100,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
2,0.200,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
3,0.300,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
4,0.400,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
5,0.500,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
6,0.600,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
7,0.700,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
8,0.800,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
9,0.900,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
10,1.000,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
11,1.100,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
12,1.200,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
13,1.300,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
14,1.400,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
15,1.500,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
16,1.600,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
17,1.700,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
18,1.800,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
19,1.900,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
20,2.000,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
21,2.100,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
22,2.200,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
23,2.300,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
24,2.400,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
25,2.500,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
26,2.600,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
27,2.700,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
28,2.800,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
29,2.900,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
30,3.000,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
31,3.100,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
32,3.200,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
33,3.300,0,0.464307,0.202101,0.124240,0.087970,0.067304,0.054078
34,3.400,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
35,3.500,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
36,3.600,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
37,3.700,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
38,3.800,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
39,3.900,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
40,4.000,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
41,4.100,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
42,4.200,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
43,4.300,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
44,4.400,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
45,4.500,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
46,4.600,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
47,4.700,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
48,4.800,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
49,4.900,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
50,5.000,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
51,5.100,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
52,5.200,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
53,5.300,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
54,5.400,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
55,5.500,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
56,5.600,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
57,5.700,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
58,5.800,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
59,5.900,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
60,6.000,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
61,6.100,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
62,6.200,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
63,6.300,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
64,6.400,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
65,6.500,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
66,6.600,5,0.202101,0.124240,0.087970,0.067304,0.054078,0.464307
67,6.700,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
68,6.800,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
69,6.900,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
70,7.000,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
71,7.100,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
72,7.200,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
73,7.300,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
74,7.400,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
75,7.500,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
76,7.600,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
77,7.700,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
78,7.800,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
79,7.900,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
80,8.000,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
81,8.100,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
82,8.200,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
83,8.300,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
84,8.400,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
85,8.500,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
86,8.600,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
87,8.700,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
88,8.800,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
89,8.900,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
90,9.000,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
91,9.100,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
92,9.200,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
93,9.300,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
94,9.400,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
95,9.500,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
96,9.600,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
97,9.700,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
98,9.800,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
99,9.900,4,0.124240,0.087970,0.067304,0.054078,0.464307,0.202101
100,10.000,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
101,10.100,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
102,10.200,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
103,10.300,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
104,10.400,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
105,10.500,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
106,10.600,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
107,10.700,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
108,10.800,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
109,10.900,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
110,11.000,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
111,11.100,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
112,11.200,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
113,11.300,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
114,11.400,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
115,11.500,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
116,11.600,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
117,11.700,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
118,11.800,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
119,11.900,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
120,12.000,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
121,12.100,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
122,12.200,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
123,12.300,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
124,12.400,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
125,12.500,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
126,12.600,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
127,12.700,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
128,12.800,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
129,12.900,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
130,13.000,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
131,13.100,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
132,13.200,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
133,13.300,3,0.087970,0.067304,0.054078,0.464307,0.202101,0.124240
134,13.400,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
135,13.500,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
136,13.600,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
137,13.700,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
138,13.800,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
139,13.900,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
140,14.000,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
141,14.100,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
142,14.200,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
143,14.300,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
144,14.400,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
145,14.500,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
146,14.600,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
147,14.700,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
148,14.800,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
149,14.900,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
150,15.000,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
151,15.100,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
152,15.200,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
153,15.300,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
154,15.400,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
155,15.500,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
156,15.600,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
157,15.700,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
158,15.800,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
159,15.900,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
160,16.000,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
161,16.100,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
162,16.200,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
163,16.300,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
164,16.400,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
165,16.500,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
166,16.600,2,0.067304,0.054078,0.464307,0.202101,0.124240,0.087970
167,16.700,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
168,16.800,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
169,16.900,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
170,17.000,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
171,17.100,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
172,17.200,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
173,17.300,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
174,17.400,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
175,17.500,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
176,17.600,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
177,17.700,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
178,17.800,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
179,17.900,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
180,18.000,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
181,18.100,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
182,18.200,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
183,18.300,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
184,18.400,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
185,18.500,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
186,18.600,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
187,18.700,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
188,18.800,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
189,18.900,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
190,19.000,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
191,19.100,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
192,19.200,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
193,19.300,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
194,19.400,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
195,19.500,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
196,19.600,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
197,19.700,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
198,19.800,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
199,19.900,1,0.054078,0.464307,0.202101,0.124240,0.087970,0.067304
