policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,60.611391,108.333333,0.559490,0.000000
cga,CGA,0,0.000,replay,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,61.089042,108.333333,0.563899,0.000000
hda,HDA,0,0.000,replay,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,56.771468,108.333333,0.524044,0.000000
policy2,Policy 2,0,0.000,replay,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,57.706440,108.333333,0.532675,0.000000
policy3,Policy 3,0,0.000,replay,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,53.570968,108.333333,0.494501,0.000000
kubernetes-default,K8s default,1,0.100,replay,0.969753,0.005294,8,1.662099,0.000000,0.402746,0.094913,,,65.686056,108.937851,0.602968,0.000000
cga,CGA,1,0.100,replay,0.969753,0.005294,8,1.662099,0.000000,0.402746,0.094913,,,58.693950,108.937851,0.538784,0.000000
hda,HDA,1,0.100,replay,0.969753,0.005294,8,1.662099,0.000000,0.402746,0.094913,,,58.023673,108.937851,0.532631,0.000000
policy2,Policy 2,1,0.100,replay,0.969753,0.005294,8,1.662099,0.000000,0.402746,0.094913,,,57.677735,108.937851,0.529455,0.000000
policy3,Policy 3,1,0.100,replay,0.969753,0.005294,8,1.662099,0.000000,0.402746,0.094913,,,56.772964,108.937851,0.521150,0.000000
kubernetes-default,K8s default,2,0.200,replay,0.965329,0.021315,9,1.686510,0.000000,0.446374,0.294702,,,64.801531,109.538544,0.591587,0.000000
cga,CGA,2,0.200,replay,0.965329,0.021315,9,1.686510,0.000000,0.446374,0.294702,,,59.858524,109.538544,0.546461,0.000000
hda,HDA,2,0.200,replay,0.965329,0.021315,9,1.686510,0.000000,0.446374,0.294702,,,62.593379,109.538544,0.571428,0.000000
policy2,Policy 2,2,0.200,replay,0.965329,0.021315,9,1.686510,0.000000,0.446374,0.294702,,,57.179471,109.538544,0.522003,0.000000
policy3,Policy 3,2,0.200,replay,0.965329,0.021315,9,1.686510,0.000000,0.446374,0.294702,,,57.175060,109.538544,0.521963,0.000000
kubernetes-default,K8s default,3,0.300,replay,1.003365,0.042518,9,1.709957,0.000000,0.442518,0.295763,,,65.090562,110.135418,0.591005,0.000000
cga,CGA,3,0.300,replay,1.003365,0.042518,9,1.709957,0.000000,0.442518,0.295763,,,60.328228,110.135418,0.547764,0.000000
hda,HDA,3,0.300,replay,1.003365,0.042518,9,1.709957,0.000000,0.442518,0.295763,,,59.274943,110.135418,0.538201,0.000000
policy2,Policy 2,3,0.300,replay,1.003365,0.042518,9,1.709957,0.000000,0.442518,0.295763,,,63.336331,110.135418,0.575077,0.000000
policy3,Policy 3,3,0.300,replay,1.003365,0.042518,9,1.709957,0.000000,0.442518,0.295763,,,58.078573,110.135418,0.527338,0.000000
kubernetes-default,K8s default,4,0.400,replay,0.973969,0.026441,9,1.732506,0.000000,0.438724,0.296709,,,62.963779,110.728482,0.568632,0.000000
cga,CGA,4,0.400,replay,0.973969,0.026441,9,1.732506,0.000000,0.438724,0.296709,,,57.926407,110.728482,0.523139,0.000000
hda,HDA,4,0.400,replay,0.973969,0.026441,9,1.732506,0.000000,0.438724,0.296709,,,52.899261,110.728482,0.477739,0.000000
policy2,Policy 2,4,0.400,replay,0.973969,0.026441,9,1.732506,0.000000,0.438724,0.296709,,,61.310672,110.728482,0.553703,0.000000
policy3,Policy 3,4,0.400,replay,0.973969,0.026441,9,1.732506,0.000000,0.438724,0.296709,,,64.587773,110.728482,0.583299,0.000000
kubernetes-default,K8s default,5,0.500,replay,0.950293,0.022361,9,1.754219,0.000000,0.435060,0.297541,,,67.516648,111.317744,0.606522,0.000000
cga,CGA,5,0.500,replay,0.950293,0.022361,9,1.754219,0.000000,0.435060,0.297541,,,61.510816,111.317744,0.552570,0.000000
