metric,value
mean_edge_jaccard_distance,0.07457091
mean_weighted_edge_distance,0.17122308
mean_hot_edge_rank_correlation,0.80568036
mean_graph_change_rate_per_s,0.03424462
mean_request_mix_entropy,1.03504000
mean_top3_hotspot_churn,0.15515516
mean_active_edge_count,11.49400000
mean_traffic_stress_gini,0.43298091
mean_traffic_stress_skew,0.81098969
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay/model/control-plane
latency_sla_violation_correlation,0.58907578
latency_sla_pressure_correlation,0.88379493
traffic_stress_latency_correlation,0.18470120
kubernetes-default_mean_latency_ms,109.75121874
kubernetes-default_mean_sla_violation_ratio,0.00468826
kubernetes-default_mean_request_mix_entropy,1.03504000
cga_mean_latency_ms,103.19826407
cga_mean_sla_violation_ratio,0.00067199
cga_mean_request_mix_entropy,1.03504000
hda_mean_latency_ms,98.76205948
hda_mean_sla_violation_ratio,0.00003033
hda_mean_request_mix_entropy,1.03504000
