source,destination,rps
frontend,productcatalogservice,537.2380952380952
loadgenerator,frontend,5.39047619047619
frontend,cartservice,118.18095238095236
frontend,currencyservice,470.27619047619044
frontend,adservice,86.84761904761905
frontend,shippingservice,29.428571428571427
frontend,recommendationservice,88.88571428571427
recommendationservice,productcatalogservice,89.49523809523808
checkoutservice,currencyservice,0.6857142857142856
checkoutservice,emailservice,0.2476190476190476
checkoutservice,productcatalogservice,0.4571428571428571
checkoutservice,paymentservice,0.2571428571428571
checkoutservice,cartservice,0.5142857142857142
frontend,checkoutservice,0.2571428571428571
checkoutservice,shippingservice,0.5142857142857142
