NAME                                     READY   STATUS    RESTARTS   AGE   IP                NODE           NOMINATED NODE   READINESS GATES
compose-post-service-78c7b458c9-4mrfg    1/1     Running   0          8s    192.168.135.118   emu-worker-4   <none>           <none>
home-timeline-service-7454dbfd5-9sksc    1/1     Running   0          8s    192.168.135.119   emu-worker-4   <none>           <none>
media-service-d544d87f-c42tj             1/1     Running   0          7s    192.168.135.125   emu-worker-4   <none>           <none>
nginx-thrift-687dcddcf4-5dc5k            1/1     Running   0          8s    192.168.135.120   emu-worker-4   <none>           <none>
text-service-7b855c696c-bmxwq            1/1     Running   0          7s    192.168.135.122   emu-worker-4   <none>           <none>
unique-id-service-676bcd844f-vh2sg       1/1     Running   0          7s    192.168.135.124   emu-worker-4   <none>           <none>
user-service-5df5c898b7-vhlhx            1/1     Running   0          7s    192.168.135.123   emu-worker-4   <none>           <none>
user-timeline-service-64b87579f7-fvcff   1/1     Running   0          8s    192.168.135.121   emu-worker-4   <none>           <none>
