LAST SEEN   TYPE      REASON              OBJECT                                        MESSAGE
5s          Normal    Scheduled           pod/media-service-d544d87f-c42tj              Successfully assigned pss-20260523183735z-s5-p1/media-service-d544d87f-c42tj to emu-worker-4
6s          Normal    Scheduled           pod/user-timeline-service-64b87579f7-fvcff    Successfully assigned pss-20260523183735z-s5-p1/user-timeline-service-64b87579f7-fvcff to emu-worker-4
6s          Normal    Scheduled           pod/user-service-5df5c898b7-vhlhx             Successfully assigned pss-20260523183735z-s5-p1/user-service-5df5c898b7-vhlhx to emu-worker-4
5s          Normal    Scheduled           pod/unique-id-service-676bcd844f-vh2sg        Successfully assigned pss-20260523183735z-s5-p1/unique-id-service-676bcd844f-vh2sg to emu-worker-4
5s          Normal    Scheduled           pod/text-service-7b855c696c-bmxwq             Successfully assigned pss-20260523183735z-s5-p1/text-service-7b855c696c-bmxwq to emu-worker-4
6s          Normal    Scheduled           pod/compose-post-service-78c7b458c9-4mrfg     Successfully assigned pss-20260523183735z-s5-p1/compose-post-service-78c7b458c9-4mrfg to emu-worker-4
6s          Normal    Scheduled           pod/home-timeline-service-7454dbfd5-9sksc     Successfully assigned pss-20260523183735z-s5-p1/home-timeline-service-7454dbfd5-9sksc to emu-worker-4
6s          Normal    Scheduled           pod/nginx-thrift-687dcddcf4-5dc5k             Successfully assigned pss-20260523183735z-s5-p1/nginx-thrift-687dcddcf4-5dc5k to emu-worker-4
7s          Normal    SuccessfulCreate    replicaset/nginx-thrift-687dcddcf4            Created pod: nginx-thrift-687dcddcf4-5dc5k
7s          Normal    ScalingReplicaSet   deployment/compose-post-service               Scaled up replica set compose-post-service-78c7b458c9 from 0 to 1
7s          Normal    SuccessfulCreate    replicaset/home-timeline-service-7454dbfd5    Created pod: home-timeline-service-7454dbfd5-9sksc
7s          Normal    ScalingReplicaSet   deployment/home-timeline-service              Scaled up replica set home-timeline-service-7454dbfd5 from 0 to 1
7s          Normal    ScalingReplicaSet   deployment/user-timeline-service              Scaled up replica set user-timeline-service-64b87579f7 from 0 to 1
7s          Normal    SuccessfulCreate    replicaset/user-timeline-service-64b87579f7   Created pod: user-timeline-service-64b87579f7-fvcff
7s          Normal    SuccessfulCreate    replicaset/compose-post-service-78c7b458c9    Created pod: compose-post-service-78c7b458c9-4mrfg
7s          Normal    ScalingReplicaSet   deployment/nginx-thrift                       Scaled up replica set nginx-thrift-687dcddcf4 from 0 to 1
6s          Normal    SuccessfulCreate    replicaset/text-service-7b855c696c            Created pod: text-service-7b855c696c-bmxwq
6s          Normal    Created             pod/compose-post-service-78c7b458c9-4mrfg     Container created
6s          Normal    ScalingReplicaSet   deployment/media-service                      Scaled up replica set media-service-d544d87f from 0 to 1
6s          Normal    Pulled              pod/home-timeline-service-7454dbfd5-9sksc     Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal    SuccessfulCreate    replicaset/media-service-d544d87f             Created pod: media-service-d544d87f-c42tj
6s          Normal    SuccessfulCreate    replicaset/unique-id-service-676bcd844f       Created pod: unique-id-service-676bcd844f-vh2sg
6s          Normal    ScalingReplicaSet   deployment/unique-id-service                  Scaled up replica set unique-id-service-676bcd844f from 0 to 1
6s          Normal    Pulled              pod/compose-post-service-78c7b458c9-4mrfg     Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal    ScalingReplicaSet   deployment/user-service                       Scaled up replica set user-service-5df5c898b7 from 0 to 1
6s          Normal    SuccessfulCreate    replicaset/user-service-5df5c898b7            Created pod: user-service-5df5c898b7-vhlhx
6s          Normal    Started             pod/compose-post-service-78c7b458c9-4mrfg     Container started
6s          Normal    ScalingReplicaSet   deployment/text-service                       Scaled up replica set text-service-7b855c696c from 0 to 1
5s          Normal    Created             pod/home-timeline-service-7454dbfd5-9sksc     Container created
5s          Normal    Started             pod/home-timeline-service-7454dbfd5-9sksc     Container started
5s          Normal    Pulled              pod/user-service-5df5c898b7-vhlhx             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
5s          Normal    Pulled              pod/text-service-7b855c696c-bmxwq             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
5s          Normal    Pulled              pod/user-timeline-service-64b87579f7-fvcff    Container image "python:3.11-slim" already present on machine and can be accessed by the pod
5s          Normal    Pulled              pod/nginx-thrift-687dcddcf4-5dc5k             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
4s          Normal    Created             pod/unique-id-service-676bcd844f-vh2sg        Container created
4s          Normal    Created             pod/media-service-d544d87f-c42tj              Container created
4s          Normal    Started             pod/unique-id-service-676bcd844f-vh2sg        Container started
4s          Normal    Pulled              pod/unique-id-service-676bcd844f-vh2sg        Container image "python:3.11-slim" already present on machine and can be accessed by the pod
4s          Normal    Started             pod/text-service-7b855c696c-bmxwq             Container started
4s          Normal    Created             pod/text-service-7b855c696c-bmxwq             Container created
4s          Normal    Created             pod/user-service-5df5c898b7-vhlhx             Container created
4s          Normal    Started             pod/user-service-5df5c898b7-vhlhx             Container started
4s          Normal    Created             pod/nginx-thrift-687dcddcf4-5dc5k             Container created
4s          Normal    Pulled              pod/media-service-d544d87f-c42tj              Container image "python:3.11-slim" already present on machine and can be accessed by the pod
4s          Normal    Started             pod/media-service-d544d87f-c42tj              Container started
4s          Normal    Started             pod/user-timeline-service-64b87579f7-fvcff    Container started
4s          Normal    Started             pod/nginx-thrift-687dcddcf4-5dc5k             Container started
4s          Normal    Created             pod/user-timeline-service-64b87579f7-fvcff    Container created
3s          Warning   Unhealthy           pod/media-service-d544d87f-c42tj              Readiness probe failed: Get "http://192.168.135.125:8080/healthz": dial tcp 192.168.135.125:8080: connect: connection refused
3s          Warning   Unhealthy           pod/unique-id-service-676bcd844f-vh2sg        Readiness probe failed: Get "http://192.168.135.124:8080/healthz": dial tcp 192.168.135.124:8080: connect: connection refused
3s          Warning   Unhealthy           pod/user-service-5df5c898b7-vhlhx             Readiness probe failed: Get "http://192.168.135.123:8080/healthz": dial tcp 192.168.135.123:8080: connect: connection refused
