mode,step,p_read_home,p_compose_post,p_read_user
step,0,0.7,0.15,0.15
step,1,0.7,0.15,0.15
step,2,0.7,0.15,0.15
step,3,0.7,0.15,0.15
step,4,0.7,0.15,0.15
step,5,0.7,0.15,0.15
step,6,0.7,0.15,0.15
step,7,0.7,0.15,0.15
step,8,0.7,0.15,0.15
step,9,0.7,0.15,0.15
step,10,0.7,0.15,0.15
step,11,0.7,0.15,0.15
step,12,0.15,0.7,0.15
step,13,0.15,0.7,0.15
step,14,0.15,0.7,0.15
step,15,0.15,0.7,0.15
step,16,0.15,0.7,0.15
step,17,0.15,0.7,0.15
step,18,0.15,0.7,0.15
step,19,0.15,0.7,0.15
step,20,0.15,0.7,0.15
step,21,0.15,0.7,0.15
step,22,0.15,0.7,0.15
step,23,0.15,0.7,0.15
step,24,0.15,0.15,0.7
step,25,0.15,0.15,0.7
step,26,0.15,0.15,0.7
step,27,0.15,0.15,0.7
step,28,0.15,0.15,0.7
step,29,0.15,0.15,0.7
step,30,0.15,0.15,0.7
step,31,0.15,0.15,0.7
step,32,0.15,0.15,0.7
step,33,0.15,0.15,0.7
step,34,0.15,0.15,0.7
step,35,0.15,0.15,0.7
linear,0,0.7000000000000001,0.20000000000000004,0.10000000000000002
linear,1,0.6736374073843981,0.2140896913848689,0.11227290123073304
linear,2,0.6482776814743089,0.22758403909444036,0.12413827943125066
linear,3,0.6239444162796609,0.2404154932247607,0.13564009049557843
linear,4,0.6006467160217098,0.2525285311729832,0.14682475280530685
linear,5,0.5783813739392831,0.26387825135000315,0.1577403747107136
linear,6,0.5571348970616113,0.27442897126859916,0.16843613166978952
linear,7,0.5368853426801262,0.2841528764264984,0.17896178089337542
linear,8,0.5176039491458135,0.2930287523862058,0.1893672984679806
linear,9,0.4992565564777219,0.3010408209311893,0.19970262259108876
linear,10,0.48180482156238447,0.30817769211555057,0.21001748632206502
linear,11,0.4652072390306416,0.3144314372180019,0.22036132375135653
linear,12,0.44941998281298,0.3197967827695436,0.2307832344174763
linear,13,0.4343975854547309,0.3242704226259743,0.24133199191929497
linear,14,0.4200934730084502,0.32785044318647966,0.25205608380507016
linear,15,0.40646037312349825,0.33053585603188523,0.2630037708446165
linear,16,0.39345061315407565,0.33232623222338686,0.2742231546225376
linear,17,0.3810163239665321,0.3332214330585688,0.28576224297489916
linear,18,0.36910956384257804,0.3332214330585688,0.29766900309885325
linear,19,0.35768237559461413,0.33232623222338686,0.30999139218199895
linear,20,0.34668678884063087,0.33053585603188523,0.3227773551274839
linear,21,0.3360747784067601,0.3278504431864796,0.33607477840676014
linear,22,0.32579818909104813,0.3242704226259743,0.3499313882829776
linear,23,0.3158086365712833,0.3197967827695436,0.3643945806591731
linear,24,0.30605739409910626,0.3144314372180019,0.3795111686828918
linear,25,0.29649527480762117,0.3081776921155506,0.3953270330768283
linear,26,0.2870725199746901,0.3010408209311893,0.4118866590941206
linear,27,0.27773870441970483,0.2930287523862058,0.4292325431940894
